Year,Units,Regions,Value
2014,на 100 000 родившихся живыми,Mangistau,26.55478251633119
2014,на 100 000 родившихся живыми,Ontustik Kazakhstan,15.487068297971193
2014,на 100 000 родившихся живыми,Pavlodar,0.0
2014,на 100 000 родившихся живыми,Soltustik Kazakhstan,17.691734169057156
2014,на 100 000 родившихся живыми,Shygys Kazakhstan,25.83200585525466
2014,на 100 000 родившихся живыми,Nur-Sultan city,16.335198268468982
2014,на 100 000 родившихся живыми,Almaty city,4.8050356773899034
2015,на 100 000 родившихся живыми,,16.549690445562803
2015,на 100 000 родившихся живыми,Akmola,25.893319523562923
2015,на 100 000 родившихся живыми,Aktobe,15.021781583295779
2015,на 100 000 родившихся живыми,Almaty,17.17749257686928
2015,на 100 000 родившихся живыми,Atyrau,36.76245328104896
2015,на 100 000 родившихся живыми,Batys Kazakhstan,38.580246913580254
2015,на 100 000 родившихся живыми,Zhambyl,3.781147200060498
2015,на 100 000 родившихся живыми,Karagandy,32.725190215168126
2015,на 100 000 родившихся живыми,Kostanay,0.0
2015,на 100 000 родившихся живыми,Kyzylorda,48.761987321883296
2015,на 100 000 родившихся живыми,Mangistau,5.236424569304079
2015,на 100 000 родившихся живыми,Ontustik Kazakhstan,15.648227838197323
2015,на 100 000 родившихся живыми,Pavlodar,13.059945148230376
2015,на 100 000 родившихся живыми,Soltustik Kazakhstan,15.165876777251187
2015,на 100 000 родившихся живыми,Shygys Kazakhstan,22.251891410769915
2015,на 100 000 родившихся живыми,Nur-Sultan city,7.659900421294522
2015,на 100 000 родившихся живыми,Almaty city,2.3766517729822225
2016,на 100 000 родившихся живыми,,15.416634548678026
2016,на 100 000 родившихся живыми,Akmola,0.0
2016,на 100 000 родившихся живыми,Aktobe,20.193861066235865
2016,на 100 000 родившихся живыми,Almaty,14.472129091391494
2016,на 100 000 родившихся живыми,Atyrau,30.140454518054128
2016,на 100 000 родившихся живыми,Batys Kazakhstan,22.779043280182233
2016,на 100 000 родившихся живыми,Zhambyl,11.533138551437798
2016,на 100 000 родившихся живыми,Karagandy,29.373505098401235
2016,на 100 000 родившихся живыми,Kostanay,32.725190215168126
2016,на 100 000 родившихся живыми,Kyzylorda,5.335325188070213
2016,на 100 000 родившихся живыми,Mangistau,5.052801778586227
2016,на 100 000 родившихся живыми,Ontustik Kazakhstan,15.989766549408376
2016,на 100 000 родившихся живыми,Pavlodar,0.0
2016,на 100 000 родившихся живыми,Soltustik Kazakhstan,18.940589683692156
2016,на 100 000 родившихся живыми,Shygys Kazakhstan,17.755681818181817
2016,на 100 000 родившихся живыми,Nur-Sultan city,11.020093303456639
2016,на 100 000 родившихся живыми,Almaty city,7.939343416299473
2017,на 100 000 родившихся живыми,,14.812204234758115
2017,на 100 000 родившихся живыми,Akmola,17.809439002671414
2017,на 100 000 родившихся живыми,Aktobe,5.2521008403361344
2017,на 100 000 родившихся живыми,Almaty,25.085919273511774
2017,на 100 000 родившихся живыми,Atyrau,18.404907975460123
2017,на 100 000 родившихся живыми,Batys Kazakhstan,7.76457799518596
2017,на 100 000 родившихся живыми,Zhambyl,12.22593528404923
2017,на 100 000 родившихся живыми,Karagandy,13.226346882990914
2017,на 100 000 родившихся живыми,Kostanay,17.08233686368295
2017,на 100 000 родившихся живыми,Kyzylorda,0.0
2017,на 100 000 родившихся живыми,Mangistau,10.298130889243602
2017,на 100 000 родившихся живыми,Ontustik Kazakhstan,16.798252981689902
2017,на 100 000 родившихся живыми,Pavlodar,28.498147620404676
2017,на 100 000 родившихся живыми,Soltustik Kazakhstan,18.335887260487468
2017,на 100 000 родившихся живыми,Shygys Kazakhstan,18.368846436443796
2017,на 100 000 родившихся живыми,Nur-Sultan city,6.503219093451259
2017,на 100 000 родившихся живыми,Almaty city,14.729709824716453
2018,на 100 000 родившихся живыми,,14.0
2018,на 100 000 родившихся живыми,Akmola,35.9
2018,на 100 000 родившихся живыми,Aktobe,5.1
2018,на 100 000 родившихся живыми,Almaty,14.8
2018,на 100 000 родившихся живыми,Atyrau,5.9
2018,на 100 000 родившихся живыми,Batys Kazakhstan,7.6
2018,на 100 000 родившихся живыми,Zhambyl,8.0
2018,на 100 000 родившихся живыми,Karagandy,26.2
2018,на 100 000 родившихся живыми,Kostanay,8.7
2018,на 100 000 родившихся живыми,Kyzylorda,10.7
2018,на 100 000 родившихся живыми,Mangistau,25.1
2018,на 100 000 родившихся живыми,Pavlodar,8.5
2018,на 100 000 родившихся живыми,Soltustik Kazakhstan,14.8
2018,на 100 000 родившихся живыми,Turkistan,10.3
2018,на 100 000 родившихся живыми,Shygys Kazakhstan,14.0
2018,на 100 000 родившихся живыми,Nur-Sultan city,29.0
2018,на 100 000 родившихся живыми,Almaty city,8.9
2018,на 100 000 родившихся живыми,Shymkent city,19.6
2019,на 100 000 родившихся живыми,,13.7
2019,на 100 000 родившихся живыми,Akmola,17.2
2019,на 100 000 родившихся живыми,Aktobe,4.9
2019,на 100 000 родившихся живыми,Almaty,25.4
2019,на 100 000 родившихся живыми,Atyrau,17.8
2019,на 100 000 родившихся живыми,Batys Kazakhstan,7.6
2019,на 100 000 родившихся живыми,Zhambyl,11.8
2019,на 100 000 родившихся живыми,Karagandy,39.5
2019,на 100 000 родившихся живыми,Kostanay,26.6
2019,на 100 000 родившихся живыми,Kyzylorda,5.3
2019,на 100 000 родившихся живыми,Mangistau,4.9
2019,на 100 000 родившихся живыми,Pavlodar,0.0
2019,на 100 000 родившихся живыми,Soltustik Kazakhstan,0.0
2019,на 100 000 родившихся живыми,Turkistan,9.3
2019,на 100 000 родившихся живыми,Shygys Kazakhstan,23.4
2019,на 100 000 родившихся живыми,Nur-Sultan city,3.3
2019,на 100 000 родившихся живыми,Almaty city,15.4
2019,на 100 000 родившихся живыми,Shymkent city,7.1
