Year,Units,Age,Types of skills,Regions,Value
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,,17.5
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,46.2
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,48.4
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,52.6
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",,52.3
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,34.1
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,36.0
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,37.1
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),,42.6
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",,11.2
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",,13.2
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",,15.4
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",,16.5
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",,11.9
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",,13.3
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",,17.6
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",,18.4
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,16.7
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,17.5
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,19.2
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",,20.0
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,,18.2
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,,19.2
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,,19.5
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,,21.3
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,,3.0
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,,5.0
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,,5.4
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,,6.8
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Akmola,33.6
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Akmola,41.1
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Akmola,41.9
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Akmola,42.2
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Akmola,12.4
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Akmola,17.7
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Akmola,20.7
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Akmola,21.8
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Akmola,36.8
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Akmola,48.0
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Akmola,48.0
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Akmola,51.2
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Akmola,44.6
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Akmola,39.8
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Akmola,37.4
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Akmola,41.3
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Akmola,20.1
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Akmola,19.1
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Akmola,18.7
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Akmola,19.8
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Akmola,12.4
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Akmola,12.8
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Akmola,12.4
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Akmola,15.0
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Akmola,21.8
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Akmola,20.2
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Akmola,20.4
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Akmola,23.6
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Akmola,20.5
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Akmola,30.1
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Akmola,30.3
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Akmola,33.5
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Akmola,2.4
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Akmola,2.1
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Akmola,2.5
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Akmola,2.9
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Aktobe,26.0
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Aktobe,34.7
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Aktobe,30.6
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Aktobe,38.9
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Aktobe,12.7
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Aktobe,10.5
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Aktobe,12.9
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Aktobe,17.3
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Aktobe,45.5
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Aktobe,59.2
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Aktobe,66.3
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Aktobe,61.2
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Aktobe,28.3
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Aktobe,35.5
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Aktobe,32.5
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Aktobe,53.5
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Aktobe,12.1
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Aktobe,15.9
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Aktobe,19.3
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Aktobe,24.9
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Aktobe,12.8
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Aktobe,14.6
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Aktobe,16.1
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Aktobe,20.6
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Aktobe,12.9
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Aktobe,21.1
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Aktobe,17.5
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Aktobe,30.9
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Aktobe,19.2
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Aktobe,15.9
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Aktobe,23.1
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Aktobe,31.7
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Aktobe,1.9
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Aktobe,4.8
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Aktobe,5.1
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Aktobe,6.4
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty,21.6
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty,19.6
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty,20.9
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Almaty,19.3
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,17.2
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,13.4
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,15.4
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Almaty,15.1
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,48.2
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,50.7
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,63.3
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Almaty,61.2
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,30.4
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,36.8
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,35.8
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Almaty,47.2
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty,6.6
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty,14.1
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty,16.5
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Almaty,16.8
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty,8.4
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty,7.5
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty,16.2
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Almaty,9.4
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,8.5
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,24.1
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,13.6
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Almaty,13.7
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Almaty,16.8
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Almaty,8.4
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Almaty,10.8
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Almaty,11.0
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Almaty,1.8
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Almaty,1.3
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Almaty,2.4
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Almaty,1.0
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Atyrau,18.6
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Atyrau,23.0
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Atyrau,33.1
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Atyrau,30.2
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,10.9
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,7.4
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,8.7
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Atyrau,19.2
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,49.5
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,62.5
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,62.0
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Atyrau,47.9
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,23.5
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,27.0
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,25.1
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Atyrau,43.9
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Atyrau,3.8
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Atyrau,9.1
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Atyrau,8.8
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Atyrau,11.2
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Atyrau,3.4
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Atyrau,13.5
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Atyrau,13.9
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Atyrau,27.1
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,12.2
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,7.6
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,18.6
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Atyrau,19.4
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Atyrau,21.0
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Atyrau,14.4
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Atyrau,22.3
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Atyrau,33.3
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Atyrau,3.2
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Atyrau,5.1
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Atyrau,5.5
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Atyrau,4.5
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Batys Kazakhstan,24.2
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Batys Kazakhstan,24.0
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Batys Kazakhstan,23.8
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Batys Kazakhstan,34.0
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,22.5
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,11.5
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,18.4
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Batys Kazakhstan,22.1
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,76.6
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,69.9
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,63.1
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Batys Kazakhstan,48.7
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,46.0
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,28.5
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,38.2
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Batys Kazakhstan,54.3
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,12.3
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,7.5
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,16.2
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,24.2
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,15.8
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,6.8
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,7.4
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,23.2
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,21.9
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,14.0
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,18.8
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,23.1
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Batys Kazakhstan,16.9
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Batys Kazakhstan,9.2
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Batys Kazakhstan,12.2
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Batys Kazakhstan,20.2
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Batys Kazakhstan,7.4
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Batys Kazakhstan,2.3
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Batys Kazakhstan,3.1
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Batys Kazakhstan,17.3
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Zhambyl,11.5
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Zhambyl,17.6
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Zhambyl,20.7
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Zhambyl,37.6
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,6.1
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,9.6
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,10.9
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,13.4
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,20.9
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,27.3
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,40.6
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,45.5
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,27.0
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,35.9
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,33.2
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,43.1
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,5.9
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,5.8
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,8.1
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Zhambyl,11.7
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Zhambyl,9.3
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Zhambyl,12.5
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Zhambyl,17.9
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Zhambyl,18.6
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,14.1
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,12.5
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,14.5
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Zhambyl,16.2
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Zhambyl,6.6
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Zhambyl,13.0
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Zhambyl,20.5
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Zhambyl,13.5
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Zhambyl,0.9
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Zhambyl,2.5
2017,Percent,Age 15 years and older,Development of computer programs using a special software language,Zhambyl,4.3
2018,Percent,Age 15 years and older,Development of computer programs using a special software language,Zhambyl,6.1
2015,Percent,Age 15 years and older,Copying or transferring a file or folder,Karagandy,32.1
2016,Percent,Age 15 years and older,Copying or transferring a file or folder,Karagandy,40.1
2017,Percent,Age 15 years and older,Copying or transferring a file or folder,Karagandy,34.3
2018,Percent,Age 15 years and older,Copying or transferring a file or folder,Karagandy,38.2
2015,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,25.1
2016,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,19.5
2017,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,26.6
2018,Percent,Age 15 years and older,Using the copy and paste tools for information or part of information to get copies or move information in a document,Karagandy,26.3
2015,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,52.9
2016,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,54.8
2017,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,56.2
2018,Percent,Age 15 years and older,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Karagandy,58.6
2015,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,30.1
2016,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,37.8
2017,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,39.7
2018,Percent,Age 15 years and older,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Karagandy,43.9
2015,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Karagandy,16.5
2016,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Karagandy,18.4
2017,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Karagandy,20.2
2018,Percent,Age 15 years and older,"Connecting and installing new devices (printer, modem, and others)",Karagandy,24.8
2015,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Karagandy,14.1
2016,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Karagandy,13.6
2017,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Karagandy,22.2
2018,Percent,Age 15 years and older,"Поиск, загрузка и установка программного обеспечения",Karagandy,24.1
2015,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,19.3
2016,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,20.0
2017,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,30.0
2018,Percent,Age 15 years and older,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Karagandy,30.5
2015,Percent,Age 15 years and older,Transferring files between computers and other devices,Karagandy,24.9
2016,Percent,Age 15 years and older,Transferring files between computers and other devices,Karagandy,25.8
2017,Percent,Age 15 years and older,Transferring files between computers and other devices,Karagandy,27.4
2018,Percent,Age 15 years and older,Transferring files between computers and other devices,Karagandy,31.6
2015,Percent,Age 15 years and older,Development of computer programs using a special software language,Karagandy,1.5
2016,Percent,Age 15 years and older,Development of computer programs using a special software language,Karagandy,3.8
