Year,Units,Age,Types of skills,Regions,Value
2016,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,8.8
2017,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,21.4
2018,Percent,Age 15-24 years old,"Connecting and installing new devices (printer, modem, and others)",Batys Kazakhstan,34.0
2015,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,18.3
2016,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,11.0
2017,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,10.8
2018,Percent,Age 15-24 years old,"Поиск, загрузка и установка программного обеспечения",Batys Kazakhstan,30.8
2015,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,18.5
2016,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,21.6
2017,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,29.5
2018,Percent,Age 15-24 years old,"Работа в графическом редакторе (включая презентации, текст, изображения,  звук, видео или диаграммы)",Batys Kazakhstan,32.3
2015,Percent,Age 15-24 years old,Transferring files between computers and other devices,Batys Kazakhstan,19.4
2016,Percent,Age 15-24 years old,Transferring files between computers and other devices,Batys Kazakhstan,15.0
2017,Percent,Age 15-24 years old,Transferring files between computers and other devices,Batys Kazakhstan,16.9
2018,Percent,Age 15-24 years old,Transferring files between computers and other devices,Batys Kazakhstan,30.1
2015,Percent,Age 15-24 years old,Development of computer programs using a special software language,Batys Kazakhstan,5.9
2016,Percent,Age 15-24 years old,Development of computer programs using a special software language,Batys Kazakhstan,1.0
2017,Percent,Age 15-24 years old,Development of computer programs using a special software language,Batys Kazakhstan,3.8
2018,Percent,Age 15-24 years old,Development of computer programs using a special software language,Batys Kazakhstan,22.4
2015,Percent,Age 15-24 years old,Copying or transferring a file or folder,Zhambyl,6.1
2016,Percent,Age 15-24 years old,Copying or transferring a file or folder,Zhambyl,25.6
2017,Percent,Age 15-24 years old,Copying or transferring a file or folder,Zhambyl,28.0
2018,Percent,Age 15-24 years old,Copying or transferring a file or folder,Zhambyl,42.2
2015,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,5.1
2016,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,17.0
2017,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,14.1
2018,Percent,Age 15-24 years old,Using the copy and paste tools for information or part of information to get copies or move information in a document,Zhambyl,14.8
2015,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,24.6
2016,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,33.8
2017,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,54.0
2018,Percent,Age 15-24 years old,"Отправка электронной почты с вложенными файлами (документ, фотография,видео)",Zhambyl,60.0
2015,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,33.0
2016,Percent,Age 15-24 years old,Работа в редакторе электронных таблицах Excel (использование базовых арифметических формул в таблицах),Zhambyl,52.3
