Year,Units,Экономикалық қызмет түрлері,Өңірлер,Жынысы,Жасы,Value
2018,пайыз,,Ақтөбе,,55-64,796.0
2018,пайыз,,Ақтөбе,,65 және одан үлкен,798.0
2018,пайыз,,Алматы,,16-24,497.0
2018,пайыз,,Алматы,,25-28,608.0
2018,пайыз,,Алматы,,29-34,711.0
2018,пайыз,,Алматы,,35-44,791.0
2018,пайыз,,Алматы,,45-54,708.0
2018,пайыз,,Алматы,,55-64,732.0
2018,пайыз,,Алматы,,65 және одан үлкен,810.0
2018,пайыз,,Атырау,,16-24,768.0
2018,пайыз,,Атырау,,25-28,1231.0
2018,пайыз,,Атырау,,29-34,1571.0
2018,пайыз,,Атырау,,35-44,1917.0
2018,пайыз,,Атырау,,45-54,1855.0
2018,пайыз,,Атырау,,55-64,2077.0
2018,пайыз,,Атырау,,65 және одан үлкен,6563.0
2018,пайыз,,Батыс Қазақстан,,16-24,490.0
2018,пайыз,,Батыс Қазақстан,,25-28,621.0
2018,пайыз,,Батыс Қазақстан,,29-34,894.0
2018,пайыз,,Батыс Қазақстан,,35-44,1586.0
2018,пайыз,,Батыс Қазақстан,,45-54,1341.0
2018,пайыз,,Батыс Қазақстан,,55-64,1276.0
2018,пайыз,,Батыс Қазақстан,,65 және одан үлкен,1028.0
2018,пайыз,,Жамбыл,,16-24,443.0
2018,пайыз,,Жамбыл,,25-28,532.0
2018,пайыз,,Жамбыл,,29-34,619.0
2018,пайыз,,Жамбыл,,35-44,649.0
2018,пайыз,,Жамбыл,,45-54,630.0
2018,пайыз,,Жамбыл,,55-64,636.0
2018,пайыз,,Жамбыл,,65 және одан үлкен,661.0
2018,пайыз,,Қарағанды,,16-24,520.5235270651388
2018,пайыз,,Қарағанды,,25-28,708.0
2018,пайыз,,Қарағанды,,29-34,830.0
2018,пайыз,,Қарағанды,,35-44,890.0
2018,пайыз,,Қарағанды,,45-54,807.0
2018,пайыз,,Қарағанды,,55-64,817.0
2018,пайыз,,Қарағанды,,65 және одан үлкен,837.0
2018,пайыз,,Қостанай,,16-24,471.82799327592966
2018,пайыз,,Қостанай,,25-28,622.0
2018,пайыз,,Қостанай,,29-34,728.0
2018,пайыз,,Қостанай,,35-44,761.0
2018,пайыз,,Қостанай,,45-54,679.0
2018,пайыз,,Қостанай,,55-64,653.0
2018,пайыз,,Қостанай,,65 және одан үлкен,789.0
2018,пайыз,,Қызылорда,,16-24,460.0
2018,пайыз,,Қызылорда,,25-28,594.0
2018,пайыз,,Қызылорда,,29-34,696.0
2018,пайыз,,Қызылорда,,35-44,784.0
2018,пайыз,,Қызылорда,,45-54,726.0
2018,пайыз,,Қызылорда,,55-64,810.2078016824388
2018,пайыз,,Қызылорда,,65 және одан үлкен,941.0
2018,пайыз,,Маңғыстау,,16-24,538.3856137802676
2018,пайыз,,Маңғыстау,,25-28,867.0
2018,пайыз,,Маңғыстау,,29-34,1351.0
2018,пайыз,,Маңғыстау,,35-44,1585.0
2018,пайыз,,Маңғыстау,,45-54,1641.0
2018,пайыз,,Маңғыстау,,55-64,1661.8786260297784
2018,пайыз,,Маңғыстау,,65 және одан үлкен,1421.0
2018,пайыз,,Оңтүстік Қазақстан,,16-24,436.0414511910112
2018,пайыз,,Оңтүстік Қазақстан,,25-28,514.0
2018,пайыз,,Оңтүстік Қазақстан,,29-34,608.0
2018,пайыз,,Оңтүстік Қазақстан,,35-44,651.0
2018,пайыз,,Оңтүстік Қазақстан,,45-54,666.0
2018,пайыз,,Оңтүстік Қазақстан,,55-64,672.0641325526118
2018,пайыз,,Оңтүстік Қазақстан,,65 және одан үлкен,864.0
2018,пайыз,,Павлодар,,16-24,515.3475799547509
2018,пайыз,,Павлодар,,25-28,638.0
2018,пайыз,,Павлодар,,29-34,765.0
2018,пайыз,,Павлодар,,35-44,828.0
2018,пайыз,,Павлодар,,45-54,787.0
2018,пайыз,,Павлодар,,55-64,814.7523761591942
2018,пайыз,,Павлодар,,65 және одан үлкен,788.0
2018,пайыз,,Солтүстік Қазақстан,,16-24,465.2290295740012
2018,пайыз,,Солтүстік Қазақстан,,25-28,566.0
2018,пайыз,,Солтүстік Қазақстан,,29-34,662.0
2018,пайыз,,Солтүстік Қазақстан,,35-44,697.0
2018,пайыз,,Солтүстік Қазақстан,,45-54,629.0
2018,пайыз,,Солтүстік Қазақстан,,55-64,607.421827061364
2018,пайыз,,Солтүстік Қазақстан,,65 және одан үлкен,639.0
2018,пайыз,,Шығыс Қазақстан,,16-24,530.7171706825818
2018,пайыз,,Шығыс Қазақстан,,25-28,628.0
2018,пайыз,,Шығыс Қазақстан,,29-34,732.0
2018,пайыз,,Шығыс Қазақстан,,35-44,827.0
2018,пайыз,,Шығыс Қазақстан,,45-54,757.0
2018,пайыз,,Шығыс Қазақстан,,55-64,714.0231608979581
2018,пайыз,,Шығыс Қазақстан,,65 және одан үлкен,890.0
2018,пайыз,,Нұр-Сұлтан қаласы,,16-24,723.5714472571913
2018,пайыз,,Нұр-Сұлтан қаласы,,25-28,1019.0
2018,пайыз,,Нұр-Сұлтан қаласы,,29-34,1403.0
2018,пайыз,,Нұр-Сұлтан қаласы,,35-44,1654.0
2018,пайыз,,Нұр-Сұлтан қаласы,,45-54,1561.0
2018,пайыз,,Нұр-Сұлтан қаласы,,55-64,1460.9735161936446
2018,пайыз,,Нұр-Сұлтан қаласы,,65 және одан үлкен,1444.0
2018,пайыз,,Алматы қаласы,,16-24,729.2190398671222
2018,пайыз,,Алматы қаласы,,25-28,1021.0
2018,пайыз,,Алматы қаласы,,29-34,1380.0
2018,пайыз,,Алматы қаласы,,35-44,1726.0
2018,пайыз,,Алматы қаласы,,45-54,1357.0
2018,пайыз,,Алматы қаласы,,55-64,1245.5688414493034
2018,пайыз,,Алматы қаласы,,65 және одан үлкен,1359.0
2018,пайыз,,,ерлер,16-24,612.0
2018,пайыз,,,ерлер,25-28,827.0
2018,пайыз,,,ерлер,29-34,1100.0
2018,пайыз,,,ерлер,35-44,1347.0
2018,пайыз,,,ерлер,45-54,1205.0
2018,пайыз,,,ерлер,55-64,1107.0
2018,пайыз,,,ерлер,65 және одан үлкен,1276.0
2018,пайыз,,,әйелдер,16-24,532.0
2018,пайыз,,,әйелдер,25-28,680.0
2018,пайыз,,,әйелдер,29-34,788.0
2018,пайыз,,,әйелдер,35-44,868.0
2018,пайыз,,,әйелдер,45-54,793.0
2018,пайыз,,,әйелдер,55-64,758.0
2018,пайыз,,,әйелдер,65 және одан үлкен,968.0
2018,пайыз,всего,,,,958.515148513441
2018,пайыз,"ауыл, орман және балық шаруашылығы",,,,537.4819969475383
2018,пайыз,өнеркәсіп,,,,1382.4681137718335
2018,пайыз,құрылыс,,,,1336.9906282412576
2018,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,,,934.6633223065244
2018,пайыз,көлік және жинақтау,,,,1178.0562024307806
2018,пайыз,тұру және тамақтану бойынша қызмет көрсету,,,,1294.7271988242935
2018,пайыз,ақпарат және байланыс,,,,1371.4105549397304
2018,пайыз,қаржы және сақтандыру қызметі,,,,2270.1905817276315
2018,пайыз,жылжымайтын мүлікпен операциялар,,,,982.1758679607468
2018,пайыз,"Профессиональная, научная и техническая деятельность",,,,1548.159058430363
2018,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,,,886.3556560994357
2018,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,,,719.575732775474
2018,пайыз,Білім беру,,,,599.4805768453364
2018,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,,,643.6722283345781
2018,пайыз,"өнер, ойын-сауық және демалыс",,,,609.5812853694018
2018,пайыз,қызметтердің басқа түрлерін ұсыну,,,,1548.5450989251553
2018,пайыз,всего,,ерлер,,1122.1057762496741
2018,пайыз,"ауыл, орман және балық шаруашылығы",,ерлер,,548.6417679992022
2018,пайыз,өнеркәсіп,,ерлер,,1490.3329961209895
2018,пайыз,құрылыс,,ерлер,,1345.8063705740574
2018,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,ерлер,,972.3040195101904
2018,пайыз,көлік және жинақтау,,ерлер,,1241.5308070361193
2018,пайыз,тұру және тамақтану бойынша қызмет көрсету,,ерлер,,1837.0169254754248
2018,пайыз,ақпарат және байланыс,,ерлер,,1423.0240517734915
2018,пайыз,қаржы және сақтандыру қызметі,,ерлер,,2876.6998538358307
2018,пайыз,жылжымайтын мүлікпен операциялар,,ерлер,,1035.4483693033962
2018,пайыз,"Профессиональная, научная и техническая деятельность",,ерлер,,1697.2655614312814
2018,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,ерлер,,892.6716384886265
2018,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,ерлер,,775.10395315742
2018,пайыз,Білім беру,,ерлер,,640.2261882986455
2018,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,ерлер,,717.4289922926317
2018,пайыз,"өнер, ойын-сауық және демалыс",,ерлер,,716.8430976567395
2018,пайыз,қызметтердің басқа түрлерін ұсыну,,ерлер,,1624.2361434922132
2018,пайыз,всего,,әйелдер,,784.8041675593731
2018,пайыз,"ауыл, орман және балық шаруашылығы",,әйелдер,,508.7102321501834
2018,пайыз,өнеркәсіп,,әйелдер,,1119.9442739094684
2018,пайыз,құрылыс,,әйелдер,,1298.0748719328024
2018,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,әйелдер,,888.0069158756247
2018,пайыз,көлік және жинақтау,,әйелдер,,1005.3222629440404
2018,пайыз,тұру және тамақтану бойынша қызмет көрсету,,әйелдер,,917.0728700009096
2018,пайыз,ақпарат және байланыс,,әйелдер,,1284.6604745622344
2018,пайыз,қаржы және сақтандыру қызметі,,әйелдер,,1887.5442136502168
2018,пайыз,жылжымайтын мүлікпен операциялар,,әйелдер,,913.1807804162172
2018,пайыз,"Профессиональная, научная и техническая деятельность",,әйелдер,,1327.5859868079358
2018,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,әйелдер,,862.9841050131693
2018,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,әйелдер,,622.0280226817158
2018,пайыз,Білім беру,,әйелдер,,585.0363840755343
2018,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,әйелдер,,619.0310573026434
2018,пайыз,"өнер, ойын-сауық және демалыс",,әйелдер,,521.6192074564475
2018,пайыз,қызметтердің басқа түрлерін ұсыну,,әйелдер,,1451.7176165706878
2019,пайыз,,,,,1038.3052663604008
2019,пайыз,,Ақмола,,,751.810515324525
2019,пайыз,,Ақтөбе,,,849.2511612535702
2019,пайыз,,Алматы,,,755.4771039067218
2019,пайыз,,Атырау,,,1810.903726234045
2019,пайыз,,Батыс Қазақстан,,,979.6098783690732
2019,пайыз,,Жамбыл,,,705.2243325933413
2019,пайыз,,Қарағанды,,,998.8351575713893
2019,пайыз,,Қостанай,,,788.3211989784552
2019,пайыз,,Қызылорда,,,824.8159976827286
2019,пайыз,,Маңғыстау,,,1602.877390226558
2019,пайыз,,Павлодар,,,906.8298242405153
2019,пайыз,,Солтүстік Қазақстан,,,689.1777894285835
2019,пайыз,,Түркістан,,,644.4986106617954
2019,пайыз,,Шығыс Қазақстан,,,871.9702721622285
2019,пайыз,,Нұр-Сұлтан қаласы,,,1435.9508096180568
2019,пайыз,,Алматы қаласы,,,1404.7875309546023
2019,пайыз,,Шымкент қаласы,,,698.6597017781418
2019,пайыз,,,ерлер,,1229.204307294979
2019,пайыз,,Ақмола,ерлер,,839.0676853339685
2019,пайыз,,Ақтөбе,ерлер,,996.5111199833644
2019,пайыз,,Алматы,ерлер,,837.4749129677715
2019,пайыз,,Атырау,ерлер,,2217.414191523651
2019,пайыз,,Батыс Қазақстан,ерлер,,1208.7465403037202
2019,пайыз,,Жамбыл,ерлер,,765.727220961504
2019,пайыз,,Қарағанды,ерлер,,1224.361179046771
2019,пайыз,,Қостанай,ерлер,,882.6509505743583
2019,пайыз,,Қызылорда,ерлер,,944.7059634358127
2019,пайыз,,Маңғыстау,ерлер,,2015.085343157404
2019,пайыз,,Павлодар,ерлер,,1038.5912030404784
2019,пайыз,,Солтүстік Қазақстан,ерлер,,745.4570378941771
2019,пайыз,,Түркістан,ерлер,,725.6637871141686
2019,пайыз,,Шығыс Қазақстан,ерлер,,956.2084295871146
2019,пайыз,,Нұр-Сұлтан қаласы,ерлер,,1671.8418458994488
2019,пайыз,,Алматы қаласы,ерлер,,1587.8594797646053
2019,пайыз,,Шымкент қаласы,ерлер,,761.3999698861653
2019,пайыз,,,әйелдер,,842.3060860861607
2019,пайыз,,Ақмола,әйелдер,,667.0525917045906
2019,пайыз,,Ақтөбе,әйелдер,,689.7416110601912
2019,пайыз,,Алматы,әйелдер,,694.6756029997886
2019,пайыз,,Атырау,әйелдер,,1173.0076221668096
2019,пайыз,,Батыс Қазақстан,әйелдер,,761.1296626927948
2019,пайыз,,Жамбыл,әйелдер,,656.7497095722813
2019,пайыз,,Қарағанды,әйелдер,,763.5438974519686
2019,пайыз,,Қостанай,әйелдер,,689.3556072725777
2019,пайыз,,Қызылорда,әйелдер,,699.3142807139899
2019,пайыз,,Маңғыстау,әйелдер,,1051.195925193273
2019,пайыз,,Павлодар,әйелдер,,756.3332422692397
2019,пайыз,,Солтүстік Қазақстан,әйелдер,,632.844283761588
2019,пайыз,,Түркістан,әйелдер,,585.3401990598692
2019,пайыз,,Шығыс Қазақстан,әйелдер,,773.923752221786
2019,пайыз,,Нұр-Сұлтан қаласы,әйелдер,,1189.7994865157796
2019,пайыз,,Алматы қаласы,әйелдер,,1221.9402828270054
2019,пайыз,,Шымкент қаласы,әйелдер,,629.5503862002204
2019,пайыз,,,,16-24,671.1157787479409
2019,пайыз,,,,25-28,844.2664523042752
2019,пайыз,,,,29-34,1042.420374706924
2019,пайыз,,,,35-44,1180.8141774832775
2019,пайыз,,,,45-54,1061.8021743274846
2019,пайыз,,,,55-64,1014.9031650502202
2019,пайыз,,,,65 және одан үлкен,1139.943093664647
2019,пайыз,,Ақмола,,16-24,573.8185209710608
2019,пайыз,,Ақмола,,25-28,674.1655212762797
2019,пайыз,,Ақмола,,29-34,768.7055017387752
2019,пайыз,,Ақмола,,35-44,826.6640849746433
2019,пайыз,,Ақмола,,45-54,745.6459606015369
2019,пайыз,,Ақмола,,55-64,724.9620630656889
2019,пайыз,,Ақмола,,65 және одан үлкен,808.7846019342087
2019,пайыз,,Ақтөбе,,16-24,586.8912646069126
2019,пайыз,,Ақтөбе,,25-28,736.919421171285
2019,пайыз,,Ақтөбе,,29-34,854.4998469629323
2019,пайыз,,Ақтөбе,,35-44,894.1461336582056
2019,пайыз,,Ақтөбе,,45-54,858.3119789320981
2019,пайыз,,Ақтөбе,,55-64,903.2609113336174
2019,пайыз,,Ақтөбе,,65 және одан үлкен,989.7379197234137
2019,пайыз,,Алматы,,16-24,548.4447273342646
2019,пайыз,,Алматы,,25-28,636.2156291392587
2019,пайыз,,Алматы,,29-34,768.8464973383528
2019,пайыз,,Алматы,,35-44,848.6572617936844
2019,пайыз,,Алматы,,45-54,736.790347151232
2019,пайыз,,Алматы,,55-64,755.1093807307675
2019,пайыз,,Алматы,,65 және одан үлкен,791.6616390439967
2019,пайыз,,Атырау,,16-24,904.0347169674685
2019,пайыз,,Атырау,,25-28,1268.7877000652709
2019,пайыз,,Атырау,,29-34,1737.2905323057876
2019,пайыз,,Атырау,,35-44,2052.7279880821816
2019,пайыз,,Атырау,,45-54,2013.507298743143
2019,пайыз,,Атырау,,55-64,2081.668570225941
2019,пайыз,,Атырау,,65 және одан үлкен,3327.7872756724705
2019,пайыз,,Батыс Қазақстан,,16-24,536.6878070047707
2019,пайыз,,Батыс Қазақстан,,25-28,652.7552094402993
2019,пайыз,,Батыс Қазақстан,,29-34,829.9674866235167
2019,пайыз,,Батыс Қазақстан,,35-44,1133.355467124606
2019,пайыз,,Батыс Қазақстан,,45-54,1112.3813745459468
2019,пайыз,,Батыс Қазақстан,,55-64,994.549950499122
2019,пайыз,,Батыс Қазақстан,,65 және одан үлкен,1067.6412296968615
2019,пайыз,,Жамбыл,,16-24,511.8888889776516
2019,пайыз,,Жамбыл,,25-28,581.1713595503987
2019,пайыз,,Жамбыл,,29-34,693.1802666899803
2019,пайыз,,Жамбыл,,35-44,731.2486346053457
2019,пайыз,,Жамбыл,,45-54,727.6493147474984
2019,пайыз,,Жамбыл,,55-64,758.3216002405386
2019,пайыз,,Жамбыл,,65 және одан үлкен,793.0777694251292
2019,пайыз,,Қарағанды,,16-24,778.0930595593699
2019,пайыз,,Қарағанды,,25-28,938.0884299363672
2019,пайыз,,Қарағанды,,29-34,1038.4380866448923
2019,пайыз,,Қарағанды,,35-44,1052.5503483126324
2019,пайыз,,Қарағанды,,45-54,1001.0644283636909
2019,пайыз,,Қарағанды,,55-64,996.4769092617148
2019,пайыз,,Қарағанды,,65 және одан үлкен,810.1935456256554
2019,пайыз,,Қостанай,,16-24,568.8156823311227
2019,пайыз,,Қостанай,,25-28,708.1889919291858
2019,пайыз,,Қостанай,,29-34,838.1617066640242
2019,пайыз,,Қостанай,,35-44,863.5231143279639
2019,пайыз,,Қостанай,,45-54,767.7988035760773
2019,пайыз,,Қостанай,,55-64,765.2653045647576
2019,пайыз,,Қостанай,,65 және одан үлкен,844.5586451951497
2019,пайыз,,Қызылорда,,16-24,533.3781807260593
2019,пайыз,,Қызылорда,,25-28,648.5355190636194
2019,пайыз,,Қызылорда,,29-34,792.5693100047995
2019,пайыз,,Қызылорда,,35-44,900.5613231312293
2019,пайыз,,Қызылорда,,45-54,875.3845177915663
2019,пайыз,,Қызылорда,,55-64,896.4383118057381
2019,пайыз,,Қызылорда,,65 және одан үлкен,1001.1617241907443
2019,пайыз,,Маңғыстау,,16-24,668.2351723297038
2019,пайыз,,Маңғыстау,,25-28,896.287404933819
2019,пайыз,,Маңғыстау,,29-34,1467.7926645102639
2019,пайыз,,Маңғыстау,,35-44,1803.9617275329792
2019,пайыз,,Маңғыстау,,45-54,1866.0275874784008
2019,пайыз,,Маңғыстау,,55-64,1853.4474720452072
2019,пайыз,,Маңғыстау,,65 және одан үлкен,1330.7961934647328
2019,пайыз,,Павлодар,,16-24,661.8391107840815
2019,пайыз,,Павлодар,,25-28,819.3595071968398
2019,пайыз,,Павлодар,,29-34,923.2874068656821
2019,пайыз,,Павлодар,,35-44,968.0765314201508
2019,пайыз,,Павлодар,,45-54,909.2084250749573
2019,пайыз,,Павлодар,,55-64,912.4859340369426
2019,пайыз,,Павлодар,,65 және одан үлкен,921.3854705750583
2019,пайыз,,Солтүстік Қазақстан,,16-24,534.5946642760338
2019,пайыз,,Солтүстік Қазақстан,,25-28,628.9917019995336
2019,пайыз,,Солтүстік Қазақстан,,29-34,713.852328582706
2019,пайыз,,Солтүстік Қазақстан,,35-44,736.1131980506922
2019,пайыз,,Солтүстік Қазақстан,,45-54,677.2366609602425
2019,пайыз,,Солтүстік Қазақстан,,55-64,672.5475188134915
2019,пайыз,,Солтүстік Қазақстан,,65 және одан үлкен,731.3546752584946
2019,пайыз,,Түркістан,,16-24,455.4117581020356
2019,пайыз,,Түркістан,,25-28,537.0918619244263
2019,пайыз,,Түркістан,,29-34,610.3737381277725
2019,пайыз,,Түркістан,,35-44,675.229136067534
2019,пайыз,,Түркістан,,45-54,666.8194448479309
2019,пайыз,,Түркістан,,55-64,685.3647412359187
2019,пайыз,,Түркістан,,65 және одан үлкен,1482.1437900792967
2019,пайыз,,Шығыс Қазақстан,,16-24,639.3287107305229
2019,пайыз,,Шығыс Қазақстан,,25-28,762.0480565718512
2019,пайыз,,Шығыс Қазақстан,,29-34,886.6884727669478
2019,пайыз,,Шығыс Қазақстан,,35-44,947.914045320182
2019,пайыз,,Шығыс Қазақстан,,45-54,905.0963747938257
2019,пайыз,,Шығыс Қазақстан,,55-64,809.3498607327333
2019,пайыз,,Шығыс Қазақстан,,65 және одан үлкен,1014.430706268389
2019,пайыз,,Нұр-Сұлтан қаласы,,16-24,763.6124892547873
2019,пайыз,,Нұр-Сұлтан қаласы,,25-28,1055.684487091699
2019,пайыз,,Нұр-Сұлтан қаласы,,29-34,1391.0479986089329
2019,пайыз,,Нұр-Сұлтан қаласы,,35-44,1737.8000990664514
2019,пайыз,,Нұр-Сұлтан қаласы,,45-54,1532.4211007035633
2019,пайыз,,Нұр-Сұлтан қаласы,,55-64,1422.9296637915563
2019,пайыз,,Нұр-Сұлтан қаласы,,65 және одан үлкен,1470.517259292984
2019,пайыз,,Алматы қаласы,,16-24,778.0881127211164
2019,пайыз,,Алматы қаласы,,25-28,1075.9983994735446
2019,пайыз,,Алматы қаласы,,29-34,1411.2551876387756
2019,пайыз,,Алматы қаласы,,35-44,1807.3420832890852
2019,пайыз,,Алматы қаласы,,45-54,1453.8724465285513
2019,пайыз,,Алматы қаласы,,55-64,1270.5797371311985
2019,пайыз,,Алматы қаласы,,65 және одан үлкен,1453.0797676607847
2019,пайыз,,Шымкент қаласы,,16-24,496.0265485155982
2019,пайыз,,Шымкент қаласы,,25-28,592.5582341972125
2019,пайыз,,Шымкент қаласы,,29-34,695.4833446286611
2019,пайыз,,Шымкент қаласы,,35-44,735.1899028048282
2019,пайыз,,Шымкент қаласы,,45-54,746.7541311753038
2019,пайыз,,Шымкент қаласы,,55-64,760.8662605304743
2019,пайыз,,Шымкент қаласы,,65 және одан үлкен,765.0186918686827
2019,пайыз,,,ерлер,16-24,728.8648271435492
2019,пайыз,,,ерлер,25-28,926.5733075492157
2019,пайыз,,,ерлер,29-34,1211.0905979305114
2019,пайыз,,,ерлер,35-44,1449.3673826629708
2019,пайыз,,,ерлер,45-54,1326.4712059685824
2019,пайыз,,,ерлер,55-64,1184.6670570704766
2019,пайыз,,,ерлер,65 және одан үлкен,1314.1307986496247
2019,пайыз,,,әйелдер,16-24,603.4226807102713
2019,пайыз,,,әйелдер,25-28,733.9750040753604
2019,пайыз,,,әйелдер,29-34,838.3780541137511
2019,пайыз,,,әйелдер,35-44,922.83931713784
2019,пайыз,,,әйелдер,45-54,856.2033154677388
2019,пайыз,,,әйелдер,55-64,824.2539724109761
2019,пайыз,,,әйелдер,65 және одан үлкен,885.9790244857053
2019,пайыз,всего,,,,1038.3052663604008
2019,пайыз,"ауыл, орман және балық шаруашылығы",,,,599.0082766560066
2019,пайыз,өнеркәсіп,,,,1445.1615719763456
2019,пайыз,құрылыс,,,,1691.5257512974854
2019,пайыз,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,,,,1106.1050442335286
2019,пайыз,көлік және жинақтау,,,,1225.6556461309615
2019,пайыз,тұру және тамақтану бойынша қызмет көрсету,,,,970.4864585278152
2019,пайыз,ақпарат және байланыс,,,,1580.3226302918044
2019,пайыз,қаржы және сақтандыру қызметі,,,,2337.787739041388
2019,пайыз,жылжымайтын мүлікпен операциялар,,,,1127.7771721912745
2019,пайыз,"Профессиональная, научная и техническая деятельность",,,,1867.197351923505
2019,пайыз,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,,,,1054.1884758719114
2019,пайыз,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,,,,768.0390769946372
2019,пайыз,Білім беру,,,,674.6766226160448
2019,пайыз,денсаулық сақтау және әлеуметтік қызметтер,,,,693.0119197629233
2019,пайыз,"өнер, ойын-сауық және демалыс",,,,712.1287083687765
2019,пайыз,қызметтердің басқа түрлерін ұсыну,,,,1822.421136017163
