Year,Units,Ауытқу дәрежесі,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),Жынысы,Аймақ,Өңірлер,Жасы,ана білімі,Квинтильді әл-ауқат индексі,үй шаруашылық басшысының ұлты,Value
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,6-11 месяцев,,,,5.8
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,12-17 месяцев,,,,6.8
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,18-23 месяцев,,,,11.0
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,12-23 месяцев,,,,18.6
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,24-35 месяцев,,,,14.4
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,24-35 месяцев,,,,11.5
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,36-47 ай,,,,11.6
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,36-47 ай,,,,8.4
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,48-59 ай,,,,8.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,,48-59 ай,,,,6.0
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Ақмола,,,,,8.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Ақмола,,,,,2.9
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Ақтөбе,,,,,36.2
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Ақтөбе,,,,,6.6
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Алматы,,,,,10.8
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Алматы,,,,,8.1
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Атырау,,,,,18.4
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Атырау,,,,,11.8
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Батыс Қазақстан,,,,,9.8
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Батыс Қазақстан,,,,,7.4
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Жамбыл,,,,,16.2
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Жамбыл,,,,,6.9
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Қарағанды,,,,,4.8
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Қарағанды,,,,,5.4
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Қостанай,,,,,12.7
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Қостанай,,,,,11.4
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Қызылорда,,,,,7.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Қызылорда,,,,,10.0
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Маңғыстау,,,,,10.2
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Маңғыстау,,,,,4.5
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Оңтүстік Қазақстан,,,,,12.1
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Оңтүстік Қазақстан,,,,,11.4
2010,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Павлодар,,,,,8.9
2015,пайыз,,Отношение роста к возрасту-средний Z-показатель (SD-стандартное отклонение),,,Павлодар,,,,,5.5
