Year,Units,Жынысы,Өңірлер,Value
2017,пайыз,ұлдар,Нұр-Сұлтан қаласы,88.93717182690567
2017,пайыз,қыздар,Нұр-Сұлтан қаласы,89.72860538827257
2017,пайыз,ұлдар,Алматы қаласы,100.0
2017,пайыз,қыздар,Алматы қаласы,86.65784156622308
2018,пайыз,,,93.83096929119436
2018,пайыз,ұлдар,,91.65236639043032
2018,пайыз,қыздар,,96.26536706438978
2018,пайыз,,Ақмола,100.0
2018,пайыз,,Ақтөбе,100.0
2018,пайыз,,Алматы,100.0
2018,пайыз,,Атырау,100.0
2018,пайыз,,Батыс Қазақстан,100.0
2018,пайыз,,Жамбыл,91.3
2018,пайыз,,Қарағанды,100.0
2018,пайыз,,Қостанай,100.0
2018,пайыз,,Қызылорда,100.0
2018,пайыз,,Маңғыстау,100.0
2018,пайыз,,Павлодар,100.0
2018,пайыз,,Солтүстік Қазақстан,100.0
2018,пайыз,,Түркістан,90.2
2018,пайыз,,Шығыс Қазақстан,100.0
2018,пайыз,,Нұр-Сұлтан қаласы,66.7
2018,пайыз,,Алматы қаласы,80.2
2018,пайыз,,Шымкент қаласы,89.4
2018,пайыз,ұлдар,Ақмола,100.0
2018,пайыз,қыздар,Ақмола,100.0
2018,пайыз,ұлдар,Ақтөбе,100.0
2018,пайыз,қыздар,Ақтөбе,100.0
2018,пайыз,ұлдар,Алматы,100.0
2018,пайыз,қыздар,Алматы,100.0
2018,пайыз,ұлдар,Атырау,100.0
2018,пайыз,қыздар,Атырау,100.0
2018,пайыз,ұлдар,Батыс Қазақстан,100.0
2018,пайыз,қыздар,Батыс Қазақстан,100.0
2018,пайыз,ұлдар,Жамбыл,100.0
2018,пайыз,қыздар,Жамбыл,82.1553362349047
2018,пайыз,ұлдар,Қарағанды,100.0
2018,пайыз,қыздар,Қарағанды,100.0
2018,пайыз,ұлдар,Қостанай,100.0
2018,пайыз,қыздар,Қостанай,100.0
2018,пайыз,ұлдар,Қызылорда,100.0
2018,пайыз,қыздар,Қызылорда,100.0
2018,пайыз,ұлдар,Маңғыстау,100.0
2018,пайыз,қыздар,Маңғыстау,100.0
2018,пайыз,ұлдар,Түркістан,88.08910636106104
2018,пайыз,қыздар,Түркістан,92.53446387960804
2018,пайыз,ұлдар,Павлодар,100.0
2018,пайыз,қыздар,Павлодар,100.0
2018,пайыз,ұлдар,Солтүстік Қазақстан,100.0
2018,пайыз,қыздар,Солтүстік Қазақстан,100.0
2018,пайыз,ұлдар,Шығыс Қазақстан,100.0
2018,пайыз,қыздар,Шығыс Қазақстан,100.0
2018,пайыз,ұлдар,Нұр-Сұлтан қаласы,67.87322480083131
2018,пайыз,қыздар,Нұр-Сұлтан қаласы,65.53822521564457
2018,пайыз,ұлдар,Алматы қаласы,78.37239759743484
2018,пайыз,қыздар,Алматы қаласы,82.22153273347813
2018,пайыз,ұлдар,Шымкент қаласы,88.21177032350485
2018,пайыз,қыздар,Шымкент қаласы,90.77813589423141
2019,пайыз,,,98.3
2019,пайыз,ұлдар,,98.3
2019,пайыз,қыздар,,98.7
2019,пайыз,,Ақмола,100.0
2019,пайыз,,Ақтөбе,100.0
2019,пайыз,,Алматы,100.0
2019,пайыз,,Атырау,100.0
2019,пайыз,,Батыс Қазақстан,100.0
2019,пайыз,,Жамбыл,100.0
2019,пайыз,,Қарағанды,100.0
2019,пайыз,,Қостанай,100.0
2019,пайыз,,Қызылорда,100.0
2019,пайыз,,Маңғыстау,100.0
2019,пайыз,,Павлодар,100.0
2019,пайыз,,Солтүстік Қазақстан,100.0
2019,пайыз,,Түркістан,100.0
2019,пайыз,,Шығыс Қазақстан,100.0
2019,пайыз,,Нұр-Сұлтан қаласы,98.6
2019,пайыз,,Алматы қаласы,81.4
2019,пайыз,,Шымкент қаласы,100.0
2019,пайыз,ұлдар,Ақмола,100.0
2019,пайыз,қыздар,Ақмола,100.0
2019,пайыз,ұлдар,Ақтөбе,100.0
2019,пайыз,қыздар,Ақтөбе,100.0
2019,пайыз,ұлдар,Алматы,100.0
2019,пайыз,қыздар,Алматы,100.0
2019,пайыз,ұлдар,Атырау,100.0
2019,пайыз,қыздар,Атырау,100.0
2019,пайыз,ұлдар,Батыс Қазақстан,100.0
2019,пайыз,қыздар,Батыс Қазақстан,100.0
2019,пайыз,ұлдар,Жамбыл,100.0
2019,пайыз,қыздар,Жамбыл,100.0
2019,пайыз,ұлдар,Қарағанды,100.0
2019,пайыз,қыздар,Қарағанды,100.0
2019,пайыз,ұлдар,Қостанай,100.0
2019,пайыз,қыздар,Қостанай,100.0
2019,пайыз,ұлдар,Қызылорда,100.0
2019,пайыз,қыздар,Қызылорда,100.0
2019,пайыз,ұлдар,Маңғыстау,100.0
2019,пайыз,қыздар,Маңғыстау,100.0
2019,пайыз,ұлдар,Түркістан,100.0
2019,пайыз,қыздар,Түркістан,100.0
2019,пайыз,ұлдар,Павлодар,100.0
2019,пайыз,қыздар,Павлодар,100.0
2019,пайыз,ұлдар,Солтүстік Қазақстан,100.0
2019,пайыз,қыздар,Солтүстік Қазақстан,100.0
2019,пайыз,ұлдар,Шығыс Қазақстан,100.0
2019,пайыз,қыздар,Шығыс Қазақстан,100.0
2019,пайыз,ұлдар,Нұр-Сұлтан қаласы,97.3
2019,пайыз,қыздар,Нұр-Сұлтан қаласы,98.5
2019,пайыз,ұлдар,Алматы қаласы,79.4
2019,пайыз,қыздар,Алматы қаласы,83.6
2019,пайыз,ұлдар,Шымкент қаласы,100.0
2019,пайыз,қыздар,Шымкент қаласы,100.0
