Year,Units,Өңірлер,GeoCode,Value
2010,2005 жылға пайызбен,Қызылорда,KZ14,120.0
2011,2005 жылға пайызбен,Қызылорда,KZ14,124.9
2012,2005 жылға пайызбен,Қызылорда,KZ14,126.5
2013,2005 жылға пайызбен,Қызылорда,KZ14,129.7
2014,2005 жылға пайызбен,Қызылорда,KZ14,125.8
2015,2005 жылға пайызбен,Қызылорда,KZ14,118.6
2016,2005 жылға пайызбен,Қызылорда,KZ14,111.5
2017,2005 жылға пайызбен,Қызылорда,KZ14,110.6
2018,2005 жылға пайызбен,Қызылорда,KZ14,108.9
2010,2005 жылға пайызбен,Маңғыстау,KZ09,96.9
2011,2005 жылға пайызбен,Маңғыстау,KZ09,92.9
2012,2005 жылға пайызбен,Маңғыстау,KZ09,90.1
2013,2005 жылға пайызбен,Маңғыстау,KZ09,91.6
2014,2005 жылға пайызбен,Маңғыстау,KZ09,92.1
2015,2005 жылға пайызбен,Маңғыстау,KZ09,89.2
2016,2005 жылға пайызбен,Маңғыстау,KZ09,86.6
2017,2005 жылға пайызбен,Маңғыстау,KZ09,84.0
2018,2005 жылға пайызбен,Маңғыстау,KZ09,82.8
2010,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,114.4
2011,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,118.4
2012,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,120.5
2013,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,121.6
2014,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,122.0
2015,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,121.4
2016,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,121.8
2017,2005 жылға пайызбен,Оңтүстік Қазақстан,KZ10,124.0
2010,2005 жылға пайызбен,Павлодар,KZ11,139.3
2011,2005 жылға пайызбен,Павлодар,KZ11,154.1
2012,2005 жылға пайызбен,Павлодар,KZ11,166.3
2013,2005 жылға пайызбен,Павлодар,KZ11,165.8
2014,2005 жылға пайызбен,Павлодар,KZ11,166.5
2015,2005 жылға пайызбен,Павлодар,KZ11,166.3
2016,2005 жылға пайызбен,Павлодар,KZ11,165.1
2017,2005 жылға пайызбен,Павлодар,KZ11,172.2
2018,2005 жылға пайызбен,Павлодар,KZ11,183.0
2010,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,131.5
2011,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,154.2
2012,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,147.1
2013,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,159.5
2014,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,169.9
2015,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,172.6
2016,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,175.2
2017,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,182.4
2018,2005 жылға пайызбен,Солтүстік Қазақстан,KZ16,189.7
2010,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,127.4
2011,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,137.2
2012,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,154.8
2013,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,166.1
2014,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,170.6
2015,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,170.4
2016,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,174.5
2017,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,178.9
2018,2005 жылға пайызбен,Шығыс Қазақстан,KZ15,188.2
2010,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,108.5
2011,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,110.5
2012,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,120.0
2013,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,126.7
2014,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,132.4
2015,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,136.1
2016,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,130.4
2017,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,124.9
2018,2005 жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,118.9
2010,2005 жылға пайызбен,Алматы қаласы,KZ02,120.4
2011,2005 жылға пайызбен,Алматы қаласы,KZ02,128.9
2012,2005 жылға пайызбен,Алматы қаласы,KZ02,138.3
2013,2005 жылға пайызбен,Алматы қаласы,KZ02,155.7
2014,2005 жылға пайызбен,Алматы қаласы,KZ02,153.2
2015,2005 жылға пайызбен,Алматы қаласы,KZ02,154.7
2016,2005 жылға пайызбен,Алматы қаласы,KZ02,153.8
2017,2005 жылға пайызбен,Алматы қаласы,KZ02,153.6
2018,2005 жылға пайызбен,Алматы қаласы,KZ02,153.8
