Year,Units,Өңірлер,GeoCode,Value
2012,пайыз,Қостанай,KZ13,54.0
2013,пайыз,Қостанай,KZ13,58.0
2014,пайыз,Қостанай,KZ13,59.0
2015,пайыз,Қостанай,KZ13,62.0
2016,пайыз,Қостанай,KZ13,62.0
2017,пайыз,Қостанай,KZ13,64.0
2018,пайыз,Қостанай,KZ13,66.0
2010,пайыз,Қызылорда,KZ14,54.0
2011,пайыз,Қызылорда,KZ14,57.0
2012,пайыз,Қызылорда,KZ14,60.0
2013,пайыз,Қызылорда,KZ14,54.0
2014,пайыз,Қызылорда,KZ14,57.0
2015,пайыз,Қызылорда,KZ14,62.0
2016,пайыз,Қызылорда,KZ14,62.6
2017,пайыз,Қызылорда,KZ14,63.0
2018,пайыз,Қызылорда,KZ14,63.5
2010,пайыз,Маңғыстау,KZ09,59.0
2011,пайыз,Маңғыстау,KZ09,59.0
2012,пайыз,Маңғыстау,KZ09,64.0
2013,пайыз,Маңғыстау,KZ09,67.0
2014,пайыз,Маңғыстау,KZ09,77.0
2015,пайыз,Маңғыстау,KZ09,84.0
2016,пайыз,Маңғыстау,KZ09,92.0
2017,пайыз,Маңғыстау,KZ09,92.0
2018,пайыз,Маңғыстау,KZ09,92.0
2011,пайыз,Павлодар,KZ11,67.0
2012,пайыз,Павлодар,KZ11,69.0
2013,пайыз,Павлодар,KZ11,71.0
2014,пайыз,Павлодар,KZ11,74.0
2015,пайыз,Павлодар,KZ11,76.0
2016,пайыз,Павлодар,KZ11,77.0
2017,пайыз,Павлодар,KZ11,78.1
2018,пайыз,Павлодар,KZ11,80.0
2010,пайыз,Солтүстік Қазақстан,KZ16,40.0
2011,пайыз,Солтүстік Қазақстан,KZ16,42.0
2012,пайыз,Солтүстік Қазақстан,KZ16,46.0
2013,пайыз,Солтүстік Қазақстан,KZ16,50.0
2014,пайыз,Солтүстік Қазақстан,KZ16,51.0
2015,пайыз,Солтүстік Қазақстан,KZ16,53.0
2016,пайыз,Солтүстік Қазақстан,KZ16,55.0
2017,пайыз,Солтүстік Қазақстан,KZ16,58.0
2018,пайыз,Солтүстік Қазақстан,KZ16,61.0
2010,пайыз,Түркістан,KZ10,49.0
2011,пайыз,Түркістан,KZ10,50.0
2012,пайыз,Түркістан,KZ10,67.5
2013,пайыз,Түркістан,KZ10,70.0
2014,пайыз,Түркістан,KZ10,74.5
2015,пайыз,Түркістан,KZ10,77.0
2016,пайыз,Түркістан,KZ10,64.0
2017,пайыз,Түркістан,KZ10,64.4
2018,пайыз,Түркістан,KZ10,71.2
2011,пайыз,Шығыс Қазақстан,KZ15,66.0
2012,пайыз,Шығыс Қазақстан,KZ15,68.0
2013,пайыз,Шығыс Қазақстан,KZ15,74.0
2014,пайыз,Шығыс Қазақстан,KZ15,75.0
2015,пайыз,Шығыс Қазақстан,KZ15,76.0
2016,пайыз,Шығыс Қазақстан,KZ15,76.5
2017,пайыз,Шығыс Қазақстан,KZ15,77.0
2018,пайыз,Шығыс Қазақстан,KZ15,78.1
2015,пайыз,Нұр-Сұлтан қаласы,KZ05,71.1
2016,пайыз,Нұр-Сұлтан қаласы,KZ05,74.5
2017,пайыз,Нұр-Сұлтан қаласы,KZ05,79.3
2018,пайыз,Нұр-Сұлтан қаласы,KZ05,76.0
2011,пайыз,Алматы қаласы,KZ02,28.0
2012,пайыз,Алматы қаласы,KZ02,34.0
2013,пайыз,Алматы қаласы,KZ02,37.0
2014,пайыз,Алматы қаласы,KZ02,43.0
2015,пайыз,Алматы қаласы,KZ02,65.0
2016,пайыз,Алматы қаласы,KZ02,60.0
2017,пайыз,Алматы қаласы,KZ02,65.0
2018,пайыз,Алматы қаласы,KZ02,70.0
2014,пайыз,Шымкент қаласы,KZ18,30.7
2015,пайыз,Шымкент қаласы,KZ18,40.4
2016,пайыз,Шымкент қаласы,KZ18,41.4
2017,пайыз,Шымкент қаласы,KZ18,46.5
2018,пайыз,Шымкент қаласы,KZ18,53.7
