Year,Units,Аймақ,Жынысы,Өңірлер,GeoCode,Value
2017,пайыз,,,Ақмола,KZ03,2.9
2018,пайыз,,,Ақмола,KZ03,4.2
2010,пайыз,,,Ақтөбе,KZ04,6.0
2011,пайыз,,,Ақтөбе,KZ04,2.4
2012,пайыз,,,Ақтөбе,KZ04,2.4
2013,пайыз,,,Ақтөбе,KZ04,2.0
2014,пайыз,,,Ақтөбе,KZ04,1.8
2015,пайыз,,,Ақтөбе,KZ04,1.7
2016,пайыз,,,Ақтөбе,KZ04,1.9
2017,пайыз,,,Ақтөбе,KZ04,1.9
2018,пайыз,,,Ақтөбе,KZ04,2.9
2010,пайыз,,,Алматы,KZ01,6.6
2011,пайыз,,,Алматы,KZ01,3.4
2012,пайыз,,,Алматы,KZ01,3.2
2013,пайыз,,,Алматы,KZ01,2.0
2014,пайыз,,,Алматы,KZ01,2.5
2015,пайыз,,,Алматы,KZ01,2.3
2016,пайыз,,,Алматы,KZ01,2.2
2017,пайыз,,,Алматы,KZ01,2.4
2018,пайыз,,,Алматы,KZ01,3.7
2010,пайыз,,,Атырау,KZ06,5.9
2011,пайыз,,,Атырау,KZ06,5.2
2012,пайыз,,,Атырау,KZ06,3.3
2013,пайыз,,,Атырау,KZ06,3.3
2014,пайыз,,,Атырау,KZ06,2.8
2015,пайыз,,,Атырау,KZ06,2.8
2016,пайыз,,,Атырау,KZ06,3.1
2017,пайыз,,,Атырау,KZ06,2.8
2018,пайыз,,,Атырау,KZ06,2.5
2010,пайыз,,,Батыс Қазақстан,KZ07,6.7
2011,пайыз,,,Батыс Қазақстан,KZ07,4.8
2012,пайыз,,,Батыс Қазақстан,KZ07,4.1
2013,пайыз,,,Батыс Қазақстан,KZ07,3.7
2014,пайыз,,,Батыс Қазақстан,KZ07,2.9
2015,пайыз,,,Батыс Қазақстан,KZ07,3.1
2016,пайыз,,,Батыс Қазақстан,KZ07,2.8
2017,пайыз,,,Батыс Қазақстан,KZ07,2.7
2018,пайыз,,,Батыс Қазақстан,KZ07,3.2
2010,пайыз,,,Жамбыл,KZ17,5.3
2011,пайыз,,,Жамбыл,KZ17,5.1
2012,пайыз,,,Жамбыл,KZ17,4.9
2013,пайыз,,,Жамбыл,KZ17,3.4
2014,пайыз,,,Жамбыл,KZ17,3.1
2015,пайыз,,,Жамбыл,KZ17,3.2
2016,пайыз,,,Жамбыл,KZ17,3.3
2017,пайыз,,,Жамбыл,KZ17,3.5
2018,пайыз,,,Жамбыл,KZ17,4.6
2010,пайыз,,,Қарағанды,KZ12,3.8
2011,пайыз,,,Қарағанды,KZ12,3.5
2012,пайыз,,,Қарағанды,KZ12,2.8
2013,пайыз,,,Қарағанды,KZ12,2.0
2014,пайыз,,,Қарағанды,KZ12,1.4
2015,пайыз,,,Қарағанды,KZ12,1.5
2016,пайыз,,,Қарағанды,KZ12,1.3
2017,пайыз,,,Қарағанды,KZ12,1.6
2018,пайыз,,,Қарағанды,KZ12,2.3
2010,пайыз,,,Қостанай,KZ13,6.4
2011,пайыз,,,Қостанай,KZ13,4.6
2012,пайыз,,,Қостанай,KZ13,3.3
2013,пайыз,,,Қостанай,KZ13,2.6
2014,пайыз,,,Қостанай,KZ13,2.5
2015,пайыз,,,Қостанай,KZ13,2.7
2016,пайыз,,,Қостанай,KZ13,2.6
2017,пайыз,,,Қостанай,KZ13,2.4
2018,пайыз,,,Қостанай,KZ13,4.1
2010,пайыз,,,Қызылорда,KZ14,6.7
2011,пайыз,,,Қызылорда,KZ14,6.2
2012,пайыз,,,Қызылорда,KZ14,3.8
2013,пайыз,,,Қызылорда,KZ14,3.6
2014,пайыз,,,Қызылорда,KZ14,3.2
2015,пайыз,,,Қызылорда,KZ14,3.5
2016,пайыз,,,Қызылорда,KZ14,3.1
2017,пайыз,,,Қызылорда,KZ14,3.0
2018,пайыз,,,Қызылорда,KZ14,4.9
2010,пайыз,,,Маңғыстау,KZ09,11.6
2011,пайыз,,,Маңғыстау,KZ09,10.4
2012,пайыз,,,Маңғыстау,KZ09,3.3
2013,пайыз,,,Маңғыстау,KZ09,2.6
2014,пайыз,,,Маңғыстау,KZ09,3.0
2015,пайыз,,,Маңғыстау,KZ09,2.6
2016,пайыз,,,Маңғыстау,KZ09,2.8
2017,пайыз,,,Маңғыстау,KZ09,3.3
2018,пайыз,,,Маңғыстау,KZ09,4.9
2010,пайыз,,,Оңтүстік Қазақстан,KZ10,11.5
2011,пайыз,,,Оңтүстік Қазақстан,KZ10,10.4
2012,пайыз,,,Оңтүстік Қазақстан,KZ10,7.9
2013,пайыз,,,Оңтүстік Қазақстан,KZ10,5.9
2014,пайыз,,,Оңтүстік Қазақстан,KZ10,6.1
2015,пайыз,,,Оңтүстік Қазақстан,KZ10,5.3
2016,пайыз,,,Оңтүстік Қазақстан,KZ10,5.1
2017,пайыз,,,Оңтүстік Қазақстан,KZ10,5.0
2010,пайыз,,,Павлодар,KZ11,4.0
2011,пайыз,,,Павлодар,KZ11,4.5
2012,пайыз,,,Павлодар,KZ11,2.9
2013,пайыз,,,Павлодар,KZ11,1.5
2014,пайыз,,,Павлодар,KZ11,1.5
2015,пайыз,,,Павлодар,KZ11,1.6
2016,пайыз,,,Павлодар,KZ11,1.9
2017,пайыз,,,Павлодар,KZ11,1.7
2018,пайыз,,,Павлодар,KZ11,3.1
2010,пайыз,,,Солтүстік Қазақстан,KZ16,5.4
2011,пайыз,,,Солтүстік Қазақстан,KZ16,9.6
2012,пайыз,,,Солтүстік Қазақстан,KZ16,5.7
2013,пайыз,,,Солтүстік Қазақстан,KZ16,4.8
2014,пайыз,,,Солтүстік Қазақстан,KZ16,4.2
2015,пайыз,,,Солтүстік Қазақстан,KZ16,3.7
2016,пайыз,,,Солтүстік Қазақстан,KZ16,3.4
2017,пайыз,,,Солтүстік Қазақстан,KZ16,3.3
2018,пайыз,,,Солтүстік Қазақстан,KZ16,4.7
2018,пайыз,,,Түркістан,KZ10,10.6
2010,пайыз,,,Шығыс Қазақстан,KZ15,8.4
2011,пайыз,,,Шығыс Қазақстан,KZ15,6.1
2012,пайыз,,,Шығыс Қазақстан,KZ15,3.4
2013,пайыз,,,Шығыс Қазақстан,KZ15,2.4
2014,пайыз,,,Шығыс Қазақстан,KZ15,2.5
2015,пайыз,,,Шығыс Қазақстан,KZ15,2.0
2016,пайыз,,,Шығыс Қазақстан,KZ15,1.8
2017,пайыз,,,Шығыс Қазақстан,KZ15,1.8
2018,пайыз,,,Шығыс Қазақстан,KZ15,6.3
2010,пайыз,,,Нұр-Сұлтан қаласы,KZ05,3.4
2011,пайыз,,,Нұр-Сұлтан қаласы,KZ05,1.7
2012,пайыз,,,Нұр-Сұлтан қаласы,KZ05,1.0
2013,пайыз,,,Нұр-Сұлтан қаласы,KZ05,0.5
2014,пайыз,,,Нұр-Сұлтан қаласы,KZ05,0.4
2015,пайыз,,,Нұр-Сұлтан қаласы,KZ05,0.6
2016,пайыз,,,Нұр-Сұлтан қаласы,KZ05,0.7
2017,пайыз,,,Нұр-Сұлтан қаласы,KZ05,0.8
2018,пайыз,,,Нұр-Сұлтан қаласы,KZ05,0.9
2010,пайыз,,,Алматы қаласы,KZ02,2.6
2011,пайыз,,,Алматы қаласы,KZ02,2.0
2012,пайыз,,,Алматы қаласы,KZ02,0.4
2013,пайыз,,,Алматы қаласы,KZ02,0.6
2014,пайыз,,,Алматы қаласы,KZ02,0.6
2015,пайыз,,,Алматы қаласы,KZ02,0.6
2016,пайыз,,,Алматы қаласы,KZ02,0.8
2017,пайыз,,,Алматы қаласы,KZ02,1.0
2018,пайыз,,,Алматы қаласы,KZ02,2.8
2018,пайыз,,,Шымкент қаласы,KZ18,2.5
