Year,Units,Қамтамасыз етілген мектептер,Аймақ,Өңірлер,Value
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Солтүстік Қазақстан,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Солтүстік Қазақстан,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Солтүстік Қазақстан,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Түркістан,94.1
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Шығыс Қазақстан,97.7
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Шығыс Қазақстан,98.3
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Шығыс Қазақстан,98.9
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Нұр-Сұлтан қаласы,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Нұр-Сұлтан қаласы,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Нұр-Сұлтан қаласы,100.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Алматы қаласы,99.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Алматы қаласы,99.6
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Алматы қаласы,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,городская местность,Шымкент қаласы,98.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,,98.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,,98.5
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,,99.2
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Ақмола,98.8
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Ақмола,99.4
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Ақмола,99.8
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Ақтөбе,96.7
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Ақтөбе,97.8
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Ақтөбе,99.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Алматы,98.9
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Алматы,99.4
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Алматы,99.9
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Атырау,99.3
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Атырау,99.2
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Атырау,99.2
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Батыс Қазақстан,99.7
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Батыс Қазақстан,100.0
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Батыс Қазақстан,99.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Жамбыл,100.0
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Жамбыл,99.7
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Жамбыл,99.7
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қарағанды,98.7
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қарағанды,99.7
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қарағанды,99.3
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қостанай,90.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қостанай,92.9
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қостанай,98.4
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қызылорда,97.9
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қызылорда,98.7
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Қызылорда,97.9
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Маңғыстау,97.9
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Маңғыстау,97.9
2018,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Маңғыстау,99.0
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Оңтүстік Қазақстан,97.6
2017,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Оңтүстік Қазақстан,97.2
2016,пайыз,оқу мақсаттары үшін компьютерлермен,сельская местность,Павлодар,100.0
