Year,Units,Өңірлер,GeoCode,Value
2016,өткен жылға пайызбен,Маңғыстау,KZ09,99.6
2017,өткен жылға пайызбен,Маңғыстау,KZ09,101.0
2018,өткен жылға пайызбен,Маңғыстау,KZ09,92.3
2011,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,102.0
2012,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,100.5
2013,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,101.6
2014,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,104.0
2015,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,102.9
2016,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,101.0
2017,өткен жылға пайызбен,Оңтүстік Қазақстан,KZ10,105.9
2011,өткен жылға пайызбен,Павлодар,KZ11,110.4
2012,өткен жылға пайызбен,Павлодар,KZ11,108.9
2013,өткен жылға пайызбен,Павлодар,KZ11,99.4
2014,өткен жылға пайызбен,Павлодар,KZ11,99.9
2015,өткен жылға пайызбен,Павлодар,KZ11,101.1
2016,өткен жылға пайызбен,Павлодар,KZ11,100.7
2017,өткен жылға пайызбен,Павлодар,KZ11,107.5
2018,өткен жылға пайызбен,Павлодар,KZ11,105.6
2011,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,120.9
2012,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,98.5
2013,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,108.1
2014,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,110.9
2015,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,99.5
2016,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,102.8
2017,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,107.9
2018,өткен жылға пайызбен,Солтүстік Қазақстан,KZ16,102.2
2018,өткен жылға пайызбен,Түркістан,KZ10,101.1
2011,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,108.8
2012,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,114.6
2013,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,107.5
2014,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,102.9
2015,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,101.7
2016,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,102.5
2017,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,101.9
2018,өткен жылға пайызбен,Шығыс Қазақстан,KZ15,110.3
2011,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,106.4
2012,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,111.0
2013,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,106.2
2014,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,104.1
2015,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,99.3
2016,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,102.5
2017,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,97.4
2018,өткен жылға пайызбен,Нұр-Сұлтан қаласы,KZ05,88.0
2011,өткен жылға пайызбен,Алматы қаласы,KZ02,106.0
2012,өткен жылға пайызбен,Алматы қаласы,KZ02,105.6
2013,өткен жылға пайызбен,Алматы қаласы,KZ02,113.3
2014,өткен жылға пайызбен,Алматы қаласы,KZ02,104.0
2015,өткен жылға пайызбен,Алматы қаласы,KZ02,95.6
2016,өткен жылға пайызбен,Алматы қаласы,KZ02,99.3
2017,өткен жылға пайызбен,Алматы қаласы,KZ02,102.1
2018,өткен жылға пайызбен,Алматы қаласы,KZ02,102.0
2018,өткен жылға пайызбен,Шымкент қаласы,KZ18,110.8
