Year,Units,Өңірлер,Value
2017,человек на 1 000 000 жителей,Алматы қаласы,3099.0
2018,человек на 1 000 000 жителей,,668.0
2018,человек на 1 000 000 жителей,Ақмола,507.0
2018,человек на 1 000 000 жителей,Ақтөбе,191.0
2018,человек на 1 000 000 жителей,Алматы,254.0
2018,человек на 1 000 000 жителей,Атырау,605.0
2018,человек на 1 000 000 жителей,Батыс Қазақстан,429.0
2018,человек на 1 000 000 жителей,Жамбыл,191.0
2018,человек на 1 000 000 жителей,Қарағанды,475.0
2018,человек на 1 000 000 жителей,Қостанай,214.0
2018,человек на 1 000 000 жителей,Қызылорда,101.0
2018,человек на 1 000 000 жителей,Маңғыстау,854.0
2018,человек на 1 000 000 жителей,Павлодар,330.0
2018,человек на 1 000 000 жителей,Солтүстік Қазақстан,70.0
2018,человек на 1 000 000 жителей,Түркістан,42.0
2018,человек на 1 000 000 жителей,Шығыс Қазақстан,642.0
2018,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,1777.0
2018,человек на 1 000 000 жителей,Алматы қаласы,3235.0
2018,человек на 1 000 000 жителей,Шымкент қаласы,229.0
2019,человек на 1 000 000 жителей,,638.0
2019,человек на 1 000 000 жителей,Ақмола,537.0
2019,человек на 1 000 000 жителей,Ақтөбе,222.0
2019,человек на 1 000 000 жителей,Алматы,229.0
2019,человек на 1 000 000 жителей,Атырау,594.0
2019,человек на 1 000 000 жителей,Батыс Қазақстан,388.0
2019,человек на 1 000 000 жителей,Жамбыл,220.0
2019,человек на 1 000 000 жителей,Қарағанды,487.0
2019,человек на 1 000 000 жителей,Қостанай,205.0
2019,человек на 1 000 000 жителей,Қызылорда,76.0
2019,человек на 1 000 000 жителей,Маңғыстау,857.0
2019,человек на 1 000 000 жителей,Павлодар,458.0
2019,человек на 1 000 000 жителей,Солтүстік Қазақстан,71.0
2019,человек на 1 000 000 жителей,Түркістан,38.0
2019,человек на 1 000 000 жителей,Шығыс Қазақстан,581.0
2019,человек на 1 000 000 жителей,Нұр-Сұлтан қаласы,1688.0
2019,человек на 1 000 000 жителей,Алматы қаласы,2843.0
2019,человек на 1 000 000 жителей,Шымкент қаласы,236.0
