Year,Units,Көлік түрлері,Өңірлер,GeoCode,Value
2018,млн.тонна,Әуе көлігі,,,0.04
2010,млн.тонна,Су көлігі,,,5.8
2011,млн.тонна,Су көлігі,,,5.7
2012,млн.тонна,Су көлігі,,,5.3
2013,млн.тонна,Су көлігі,,,5.1
2014,млн.тонна,Су көлігі,,,5.0
2015,млн.тонна,Су көлігі,,,3.7
2016,млн.тонна,Су көлігі,,,3.0
2017,млн.тонна,Су көлігі,,,3.8
2018,млн.тонна,Су көлігі,,,3.0
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,95.8
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,112.4
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,112.6
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,121.5
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,121.3
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,120.3
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,113.1
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,116.1
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақмола,,126.5
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,41.0
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,54.5
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,58.1
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,62.2
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,63.6
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,70.1
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,76.3
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,76.8
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Ақтөбе,,79.1
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,116.6
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,142.7
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,158.1
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,159.0
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,159.9
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,167.2
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,179.0
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,181.1
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы,,184.6
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,118.5
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,139.6
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,140.6
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,151.3
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,151.2
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,144.4
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,145.1
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,154.2
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Атырау,,174.3
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,30.3
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,34.0
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,35.8
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,38.9
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,40.0
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,39.5
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,39.4
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Батыс Қазақстан,,39.3
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,56.0
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,70.5
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,80.4
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,88.4
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,88.9
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,91.3
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,91.3
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,100.1
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Жамбыл,,103.9
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,444.0
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,551.1
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,619.7
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,676.7
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,719.2
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,709.9
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,727.5
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,795.5
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қарағанды,,821.2
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,221.5
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,268.0
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,275.6
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,299.7
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,297.3
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,294.9
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,277.3
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,291.5
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қостанай,,297.1
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,66.3
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,95.5
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,98.4
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,106.1
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,107.2
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,108.7
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,104.3
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,104.6
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Қызылорда,,104.7
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,141.5
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,186.6
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,207.7
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,215.1
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,217.6
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,227.8
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,218.9
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,238.6
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Маңғыстау,,238.5
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,77.5
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,106.5
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,123.8
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,133.0
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,145.4
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,155.0
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Оңтүстік Қазақстан,,158.7
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,78.5
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,97.0
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,103.0
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,116.5
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,128.1
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,127.9
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,131.5
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,133.1
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Павлодар,,142.2
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,40.1
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,46.1
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,46.2
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,49.3
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,49.9
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,49.7
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,48.2
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,51.4
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Солтүстік Қазақстан,,51.5
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Түркістан,,71.0
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,327.3
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,418.2
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,476.9
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,553.7
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,595.5
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,598.8
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,582.4
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,600.8
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Шығыс Қазақстан,,631.5
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,66.7
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,97.2
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,112.6
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,124.1
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,136.7
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,142.5
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,142.6
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Нұр-Сұлтан қаласы,,154.2
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,142.4
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,155.6
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,168.3
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,194.4
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,216.8
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,232.1
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,252.3
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,256.0
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Алматы қаласы,,247.0
2010,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,375.3
2011,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,399.4
2012,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,414.1
2013,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,418.3
2014,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,511.3
2015,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,453.8
2016,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,441.4
2017,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,496.8
2018,млн.тонна,Көліктің барлық түрлерімен жүк тасымалдау,Өңірлер бойынша таралмаған мөлшер,,520.9
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,13186.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,16647.2
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,18484.6
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,20004.3
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,21281.2
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,21839.1
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,22332.8
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,22744.7
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,,,23021.6
2010,млн.адам,Темір жол көлігімен,,,19.6
2011,млн.адам,Темір жол көлігімен,,,20.5
2012,млн.адам,Темір жол көлігімен,,,24.4
2013,млн.адам,Темір жол көлігімен,,,28.6
2014,млн.адам,Темір жол көлігімен,,,23.2
2015,млн.адам,Темір жол көлігімен,,,22.5
2016,млн.адам,Темір жол көлігімен,,,23.1
2017,млн.адам,Темір жол көлігімен,,,22.9
2018,млн.адам,Темір жол көлігімен,,,23.1
2010,млн.адам,Автокөлік,,,13083.9
2011,млн.адам,Автокөлік,,,16544.7
2012,млн.адам,Автокөлік,,,18380.2
2013,млн.адам,Автокөлік,,,19905.3
2014,млн.адам,Автокөлік,,,21189.9
2015,млн.адам,Автокөлік,,,21744.7
2016,млн.адам,Автокөлік,,,22239.4
2017,млн.адам,Автокөлік,,,22643.6
2018,млн.адам,Автокөлік,,,22911.5
2010,млн.адам,Ішкі су көлігімен,,,0.1
2011,млн.адам,Ішкі су көлігімен,,,0.1
2012,млн.адам,Ішкі су көлігімен,,,0.1
2013,млн.адам,Ішкі су көлігімен,,,0.09
2014,млн.адам,Ішкі су көлігімен,,,0.0672
2015,млн.адам,Ішкі су көлігімен,,,0.04
2016,млн.адам,Ішкі су көлігімен,,,0.0904
2017,млн.адам,Ішкі су көлігімен,,,0.0587
2018,млн.адам,Ішкі су көлігімен,,,0.0814
2018,млн.адам,Теңіз көлігімен,,,0.05752
2010,млн.адам,Әуе көлігімен,,,3.4
2011,млн.адам,Әуе көлігімен,,,4.1
2012,млн.адам,Әуе көлігімен,,,4.5
2013,млн.адам,Әуе көлігімен,,,5.0
2014,млн.адам,Әуе көлігімен,,,5.4
2015,млн.адам,Әуе көлігімен,,,5.9
2016,млн.адам,Әуе көлігімен,,,6.0
2017,млн.адам,Әуе көлігімен,,,7.4
2018,млн.адам,Әуе көлігімен,,,7.6
2010,млн.адам,Қалалық электр көлігі,,,79.5
2011,млн.адам,Қалалық электр көлігі,,,77.0
2012,млн.адам,Қалалық электр көлігі,,,69.6
2013,млн.адам,Қалалық электр көлігі,,,58.7
2014,млн.адам,Қалалық электр көлігі,,,55.6
2015,млн.адам,Қалалық электр көлігі,,,55.9
2016,млн.адам,Қалалық электр көлігі,,,51.5
2017,млн.адам,Қалалық электр көлігі,,,56.8
2018,млн.адам,Қалалық электр көлігі,,,54.9
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1057.9
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1385.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1482.1
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1604.5
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1723.9
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1729.5
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1700.1
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1643.9
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақмола,,1652.2
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,163.5
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,199.3
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,220.1
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,238.4
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,251.0
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,264.7
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,278.4
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,294.7
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Ақтөбе,,304.3
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,436.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,550.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,597.2
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,629.0
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,654.3
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,706.7
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,808.3
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,873.0
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Алматы,,882.3
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,95.4
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,126.9
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,155.4
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,167.9
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,172.1
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,172.0
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,181.0
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Атырау,,181.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,270.4
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,364.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,402.3
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,425.8
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,428.3
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,436.3
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,434.3
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,451.5
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Батыс Қазақстан,,424.6
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,570.6
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,745.8
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,802.8
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,864.6
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,882.5
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,929.5
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,957.3
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,957.3
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Жамбыл,,987.4
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,1440.7
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,1993.3
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2111.4
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2299.9
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2428.7
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2421.2
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2418.1
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қарағанды,,2428.1
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1153.4
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1436.5
2012,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1575.5
2013,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1657.4
2014,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1752.0
2015,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1745.2
2016,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1751.7
2017,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1796.6
2018,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қостанай,,1805.5
2010,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,139.7
2011,млн.адам,Көліктің барлық түрлерімен жолаушыларды тасымалдау,Қызылорда,,193.2
