Year,Units,Интернет жылдамдығы,Өңірлер,GeoCode,Value
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,16.867
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,22.430999999999997
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,12.795
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,9.195
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,28.482
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,3.033
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шығыс Қазақстан,,3.4
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,21.654
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,18.035999999999998
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,40.52
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,53.187
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,23.656
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,21.684
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Нұр-Сұлтан қаласы,,41.6
2012,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,62.683
2013,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,62.34
2014,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,42.565
2015,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,56.763999999999996
2016,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,29.465
2017,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,4.98
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Алматы қаласы,,3.2
2018,мың бірлік,256 кбит / с-тан 2 Мбит / с-ден кем,Шымкент қаласы,,0.2
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,720.799
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,906.56
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,881.3539999999997
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,767.081
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,837.673
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,987.345
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,,,1602.6
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,34.889
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,41.44600000000001
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,52.33
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,54.566
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,68.49
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,73.509
2018,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақмола,,75.2
2012,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,38.459
2013,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,40.461999999999996
2014,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,45.756
2015,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,40.354
2016,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,42.023
2017,мың бірлік,2 Мбит / с-тан 10 Мбит / с-ке дейін,Ақтөбе,,49.53
