Year,Units,Өңірлер,Value
2013,тыс.га,Қызылорда,2849.6
2013,тыс.га,Маңғыстау,1456.3
2013,тыс.га,Павлодар,1297.2
2013,тыс.га,Солтүстік Қазақстан,56.0
2013,тыс.га,Түркістан,4066.6
2013,тыс.га,Шығыс Қазақстан,1292.6
2013,тыс.га,Алматы қаласы,0.1
2013,тыс.га,Шымкент қаласы,23.2
2014,тыс.га,,21.34875115633673
2014,тыс.га,Ақмола,571.6
2014,тыс.га,Ақтөбе,2582.5
2014,тыс.га,Алматы,5767.9
2014,тыс.га,Атырау,3133.9
2014,тыс.га,Батыс Қазақстан,1875.9
2014,тыс.га,Жамбыл,2636.7
2014,тыс.га,Қарағанды,960.1
2014,тыс.га,Қостанай,769.9
2014,тыс.га,Қызылорда,2849.6
2014,тыс.га,Маңғыстау,1456.3
2014,тыс.га,Павлодар,1297.2
2014,тыс.га,Солтүстік Қазақстан,56.0
2014,тыс.га,Түркістан,4066.6
2014,тыс.га,Шығыс Қазақстан,1292.6
2014,тыс.га,Алматы қаласы,0.1
2014,тыс.га,Шымкент қаласы,23.2
2015,тыс.га,,18.737889273356398
2015,тыс.га,Ақмола,571.6
2015,тыс.га,Ақтөбе,2582.5
2015,тыс.га,Алматы,5767.9
2015,тыс.га,Атырау,3133.9
2015,тыс.га,Батыс Қазақстан,1875.9
2015,тыс.га,Жамбыл,2636.7
2015,тыс.га,Қарағанды,960.1
2015,тыс.га,Қостанай,769.9
2015,тыс.га,Қызылорда,2849.6
2015,тыс.га,Маңғыстау,1456.3
2015,тыс.га,Павлодар,1297.2
2015,тыс.га,Солтүстік Қазақстан,56.0
2015,тыс.га,Түркістан,4066.6
2015,тыс.га,Шығыс Қазақстан,1292.6
2015,тыс.га,Алматы қаласы,0.1
2015,тыс.га,Шымкент қаласы,23.2
2016,тыс.га,,13.521250000000002
2016,тыс.га,Ақмола,571.6
2016,тыс.га,Ақтөбе,2582.5
2016,тыс.га,Алматы,5767.9
2016,тыс.га,Атырау,3133.9
2016,тыс.га,Батыс Қазақстан,1875.9
2016,тыс.га,Жамбыл,2636.7
2016,тыс.га,Қарағанды,960.1
2016,тыс.га,Қостанай,769.9
2016,тыс.га,Қызылорда,2849.6
2016,тыс.га,Маңғыстау,1456.3
2016,тыс.га,Павлодар,1297.2
2016,тыс.га,Солтүстік Қазақстан,56.0
2016,тыс.га,Түркістан,4066.6
2016,тыс.га,Шығыс Қазақстан,1292.6
2016,тыс.га,Алматы қаласы,0.1
2016,тыс.га,Шымкент қаласы,23.2
2017,тыс.га,,18.38984438984439
2017,тыс.га,Ақмола,571.6
2017,тыс.га,Ақтөбе,2582.5
2017,тыс.га,Алматы,5767.9
2017,тыс.га,Атырау,3133.9
2017,тыс.га,Батыс Қазақстан,1875.9
2017,тыс.га,Жамбыл,2636.7
2017,тыс.га,Қарағанды,960.1
2017,тыс.га,Қостанай,769.9
2017,тыс.га,Қызылорда,2849.6
2017,тыс.га,Маңғыстау,1456.3
2017,тыс.га,Павлодар,1297.2
2017,тыс.га,Солтүстік Қазақстан,56.0
2017,тыс.га,Түркістан,4066.6
2017,тыс.га,Шығыс Қазақстан,1292.6
2017,тыс.га,Алматы қаласы,0.1
2017,тыс.га,Шымкент қаласы,23.2
2018,тыс.га,,21.266485998193318
2018,тыс.га,Ақмола,571.6
2018,тыс.га,Ақтөбе,2582.5
2018,тыс.га,Алматы,5767.9
2018,тыс.га,Атырау,3133.9
2018,тыс.га,Батыс Қазақстан,1875.9
2018,тыс.га,Жамбыл,2636.7
2018,тыс.га,Қарағанды,960.1
2018,тыс.га,Қостанай,769.9
2018,тыс.га,Қызылорда,2849.6
2018,тыс.га,Маңғыстау,1456.3
2018,тыс.га,Павлодар,1297.2
2018,тыс.га,Солтүстік Қазақстан,56.0
2018,тыс.га,Түркістан,4066.6
2018,тыс.га,Шығыс Қазақстан,1292.6
2018,тыс.га,Алматы қаласы,0.1
2018,тыс.га,Шымкент қаласы,23.2
2019,тыс.га,Ақмола,571.6
2019,тыс.га,Ақтөбе,2582.5
2019,тыс.га,Алматы,5767.9
2019,тыс.га,Атырау,3133.9
2019,тыс.га,Батыс Қазақстан,1875.9
2019,тыс.га,Жамбыл,2636.7
2019,тыс.га,Қарағанды,960.1
2019,тыс.га,Қостанай,769.9
2019,тыс.га,Қызылорда,2849.6
2019,тыс.га,Маңғыстау,1456.3
2019,тыс.га,Павлодар,1297.2
2019,тыс.га,Солтүстік Қазақстан,56.0
2019,тыс.га,Түркістан,4066.6
2019,тыс.га,Шығыс Қазақстан,1292.6
2019,тыс.га,Алматы қаласы,0.1
2019,тыс.га,Шымкент қаласы,23.2
