Year,Units,Өңірлер,GeoCode,Value
2016,пайыз,Оңтүстік Қазақстан,KZ10,107.1
2017,пайыз,Оңтүстік Қазақстан,KZ10,101.8
2011,пайыз,Павлодар,KZ11,98.3
2012,пайыз,Павлодар,KZ11,104.8
2013,пайыз,Павлодар,KZ11,100.0
2014,пайыз,Павлодар,KZ11,94.1
2015,пайыз,Павлодар,KZ11,98.1
2016,пайыз,Павлодар,KZ11,97.6
2017,пайыз,Павлодар,KZ11,105.6
2018,пайыз,Павлодар,KZ11,106.1
2011,пайыз,Солтүстік Қазақстан,KZ16,112.9
2012,пайыз,Солтүстік Қазақстан,KZ16,94.5
2013,пайыз,Солтүстік Қазақстан,KZ16,101.6
2014,пайыз,Солтүстік Қазақстан,KZ16,105.2
2015,пайыз,Солтүстік Қазақстан,KZ16,97.6
2016,пайыз,Солтүстік Қазақстан,KZ16,89.1
2017,пайыз,Солтүстік Қазақстан,KZ16,117.5
2018,пайыз,Солтүстік Қазақстан,KZ16,91.0
2018,пайыз,Түркістан,KZ10,108.5
2011,пайыз,Шығыс Қазақстан,KZ15,120.7
2012,пайыз,Шығыс Қазақстан,KZ15,120.7
2013,пайыз,Шығыс Қазақстан,KZ15,105.4
2014,пайыз,Шығыс Қазақстан,KZ15,100.2
2015,пайыз,Шығыс Қазақстан,KZ15,89.7
2016,пайыз,Шығыс Қазақстан,KZ15,95.8
2017,пайыз,Шығыс Қазақстан,KZ15,105.4
2018,пайыз,Шығыс Қазақстан,KZ15,112.1
2011,пайыз,Нұр-Сұлтан қаласы,KZ05,300.9
2012,пайыз,Нұр-Сұлтан қаласы,KZ05,100.0
2013,пайыз,Нұр-Сұлтан қаласы,KZ05,97.8
2014,пайыз,Нұр-Сұлтан қаласы,KZ05,102.1
2015,пайыз,Нұр-Сұлтан қаласы,KZ05,67.3
2016,пайыз,Нұр-Сұлтан қаласы,KZ05,100.5
2017,пайыз,Нұр-Сұлтан қаласы,KZ05,88.4
2018,пайыз,Нұр-Сұлтан қаласы,KZ05,107.3
2011,пайыз,Алматы қаласы,KZ02,120.0
2012,пайыз,Алматы қаласы,KZ02,103.4
2013,пайыз,Алматы қаласы,KZ02,94.9
2014,пайыз,Алматы қаласы,KZ02,122.3
2015,пайыз,Алматы қаласы,KZ02,77.8
2016,пайыз,Алматы қаласы,KZ02,101.0
2017,пайыз,Алматы қаласы,KZ02,106.2
2018,пайыз,Алматы қаласы,KZ02,103.9
2018,пайыз,Шымкент қаласы,KZ18,116.4
