Year,Units,РМ бөлшектердің түрі,Өңірлер,Қала,GeoCode,Value
2016,мг/текше метр,,,Январцев кенті,,0.004
2015,мг/текше метр,,,Қарағанды,,0.06
2016,мг/текше метр,,,Қарағанды,,0.1
2017,мг/текше метр,,,Қарағанды,,0.1
2018,мг/текше метр,,,Қарағанды,,0.11
2015,мг/текше метр,,,Балқаш,,0.0338
2016,мг/текше метр,,,Балқаш,,0.03
2017,мг/текше метр,,,Балқаш,,0.03
2015,мг/текше метр,,,Жезқазған,,0.002
2016,мг/текше метр,,,Жезқазған,,0.01
2017,мг/текше метр,,,Жезқазған,,0.01
2015,мг/текше метр,,,Саран,,0.0272
2016,мг/текше метр,,,Саран,,0.02
2017,мг/текше метр,,,Саран,,0.02
2018,мг/текше метр,,,Саран,,0.017
2015,мг/текше метр,,,Қарабалық кенті,,0.0131
2016,мг/текше метр,,,Қарабалық кенті,,0.02
2017,мг/текше метр,,,Қарабалық кенті,,0.02
2018,мг/текше метр,,,Қарабалық кенті,,0.01
2016,мг/текше метр,,,Қызылорда,,0.02
2017,мг/текше метр,,,Қызылорда,,0.01
2018,мг/текше метр,,,Қызылорда,,0.01
2015,мг/текше метр,,,Ақтау,,0.016
2016,мг/текше метр,,,Ақтау,,0.0
2017,мг/текше метр,,,Ақтау,,0.02
2018,мг/текше метр,,,Ақтау,,0.009000000000000001
2015,мг/текше метр,,,Бейнеу кенті,,0.017
2016,мг/текше метр,,,Бейнеу кенті,,0.01
2017,мг/текше метр,,,Бейнеу кенті,,0.01
2018,мг/текше метр,,,Бейнеу кенті,,0.005
2015,мг/текше метр,,,Павлодар,,0.016
2016,мг/текше метр,,,Павлодар,,0.008
2017,мг/текше метр,,,Павлодар,,0.0053
2018,мг/текше метр,,,Павлодар,,0.0046
2015,мг/текше метр,,,Екібастұз,,0.015
2016,мг/текше метр,,,Екібастұз,,0.02
2017,мг/текше метр,,,Екібастұз,,0.01
2018,мг/текше метр,,,Екібастұз,,0.0
2015,мг/текше метр,,,Петропавл,,0.009000000000000001
2016,мг/текше метр,,,Петропавл,,0.01
2017,мг/текше метр,,,Петропавл,,0.016
2018,мг/текше метр,,,Петропавл,,0.01
2015,мг/текше метр,,Шымкент қаласы,Ақсу,,0.019
2016,мг/текше метр,,Шымкент қаласы,Ақсу,,0.0
2017,мг/текше метр,,Шымкент қаласы,Ақсу,,0.04
2018,мг/текше метр,,Шымкент қаласы,Ақсу,,0.04
2015,мг/текше метр,,,Кентау,,0.011000000000000001
2016,мг/текше метр,,,Кентау,,0.0
2017,мг/текше метр,,,Кентау,,0.0
2018,мг/текше метр,,,Кентау,,0.006
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,Нұр-Сұлтан қаласы,,,0.018000000000000002
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,Нұр-Сұлтан қаласы,,,0.055999999999999994
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,Нұр-Сұлтан қаласы,,,0.1
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,Нұр-Сұлтан қаласы,,,0.06
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,Нұр-Сұлтан қаласы,,,0.02
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көкшетау,,0.268
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көкшетау,,0.1156
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көкшетау,,0.002
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көкшетау,,0.002
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көкшетау,,0.004
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Степногорск,,0.0184
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Степногорск,,0.008
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Степногорск,,0.003
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,«Бурабай» МКҚК,,0.0709
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,«Бурабай» МКҚК,,0.028999999999999998
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,«Бурабай» МКҚК,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,«Бурабай» МКҚК,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,«Бурабай» МКҚК,,0.05
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,ЩБКЗ,,0.0585
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,ЩБКЗ,,0.076
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,ЩБКЗ,,0.03
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,ЩБКЗ,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,ЩБКЗ,,0.02
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Сарыбұлақ кенті,,0.01
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Сарыбұлақ кенті,,0.01
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Сарыбұлақ кенті,,0.01
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтөбе,,0.039
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтөбе,,0.049
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтөбе,,0.04
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтөбе,,0.04
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтөбе,,0.027999999999999997
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,Алматы қаласы,,,0.012
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,Алматы қаласы,,,0.06
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,Алматы қаласы,,,0.05
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,Алматы қаласы,,,0.3
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,Алматы қаласы,,,0.03
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Талдықорған,,0.08199999999999999
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Талдықорған,,0.24100000000000002
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Талдықорған,,0.1
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Атырау,,0.456
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Атырау,,0.043
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Атырау,,0.01
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Атырау,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Атырау,,0.022000000000000002
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көлсары кенті,,0.0212
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көлсары кенті,,0.033
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Көлсары кенті,,0.0
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Өскемен,,0.092
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Өскемен,,0.0
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Өскемен,,0.0
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Өскемен,,0.5
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Өскемен,,0.04
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Риддер,,0.154
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Риддер,,0.0
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Риддер,,0.0
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Риддер,,0.06
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Риддер,,0.04
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Семей,,0.215
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Семей,,0.021
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Семей,,0.024
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Семей,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Семей,,0.03
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Глубокое кенті,,0.0347
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Глубокое кенті,,0.0553
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Глубокое кенті,,0.022000000000000002
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Глубокое кенті,,0.03
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Зыряновск,,0.013000000000000001
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Зыряновск,,0.0003
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Зыряновск,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Зыряновск,,2.9999999999999997e-05
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Тараз,,0.047
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Тараз,,0.045
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Тараз,,0.1
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Тараз,,0.04
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Тараз,,0.027999999999999997
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңатас,,0.034
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңатас,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңатас,,0.03
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңатас,,0.03
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қаратау,,0.005
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қаратау,,0.04
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қаратау,,0.06
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қаратау,,0.06
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Шу,,0.08199999999999999
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Шу,,0.1
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Шу,,0.1
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Шу,,0.06
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қордай кенті,,0.052000000000000005
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қордай кенті,,0.03
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қордай кенті,,0.04
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қордай кенті,,0.011000000000000001
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Орал,,0.027000000000000003
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Орал,,0.0626
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Орал,,0.04
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Орал,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Орал,,0.01
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсай,,0.016
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсай,,0.035
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсай,,0.01
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсай,,0.011000000000000001
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсай,,0.0
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Березовка кенті,,0.0244
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Березовка кенті,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Березовка кенті,,0.01
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Январцев кенті,,0.0238
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Январцев кенті,,0.006999999999999999
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарағанды,,0.023
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарағанды,,0.053
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарағанды,,0.1
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарағанды,,0.1
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарағанды,,0.11
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Балқаш,,0.0357
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Балқаш,,0.04
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Балқаш,,0.03
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жезқазған,,0.005
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жезқазған,,0.03
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жезқазған,,0.03
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Саран,,0.0421
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Саран,,0.03
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Саран,,0.03
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Саран,,0.02
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Теміртау,,0.002
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Теміртау,,0.0
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Теміртау,,0.0
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қостанай,,0.049
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қостанай,,0.085
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қостанай,,0.05
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қостанай,,0.01
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қостанай,,0.04
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Рудный,,0.012
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Рудный,,0.016
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Рудный,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Рудный,,0.03
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Рудный,,0.0
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарабалық кенті,,0.0298
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарабалық кенті,,0.03
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарабалық кенті,,0.03
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қарабалық кенті,,0.02
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Арқалық,,0.027999999999999997
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Арқалық,,0.06
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Арқалық,,0.02
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Арқалық,,0.012
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жетіқара,,0.013000000000000001
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жетіқара,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жетіқара,,0.03
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жетіқара,,0.033
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,,,0.011000000000000001
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,,,0.006999999999999999
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,,,0.023
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,,,0.026000000000000002
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қызылорда,,0.003
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қызылорда,,0.028999999999999998
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қызылорда,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қызылорда,,0.04
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Қызылорда,,0.0054
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақай кенті,,0.0001
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақай кенті,,0.0002
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақай кенті,,0.0001
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Төретам кенті,,0.0036
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Төретам кенті,,0.0006
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Төретам кенті,,0.0001
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Төретам кенті,,0.0
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Төретам кенті,,0.0
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтау,,0.063
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтау,,0.01
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтау,,0.1
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақтау,,0.032
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңаөзен,,0.0301
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңаөзен,,0.046
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңаөзен,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңаөзен,,0.002
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Жаңаөзен,,0.0
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Бейнеу кенті,,0.0807
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Бейнеу кенті,,0.06
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Бейнеу кенті,,0.05
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Бейнеу кенті,,0.011000000000000001
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Павлодар,,0.028999999999999998
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Павлодар,,0.039
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Павлодар,,0.016
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Павлодар,,0.0069
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Павлодар,,0.0066
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Екібастұз,,0.0272
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Екібастұз,,0.022000000000000002
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Екібастұз,,0.02
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Екібастұз,,0.01
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Екібастұз,,0.0057
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсу,,0.016
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсу,,0.023
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Ақсу,,0.02
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Петропавл,,0.0069
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Петропавл,,0.012
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Петропавл,,0.015
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Петропавл,,0.0024
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Петропавл,,0.01
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,Шымкент қаласы,,,0.057
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,Шымкент қаласы,,,0.1
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,Шымкент қаласы,,,0.1
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,Шымкент қаласы,,,0.053
2014,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Түркістан,,0.057999999999999996
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Түркістан,,0.149
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Түркістан,,0.0
2015,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Кентау,,0.006999999999999999
2016,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Кентау,,0.0
2017,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Кентау,,0.0
2018,мг/текше метр,Қалқымалы бөлшектер РМ-10,,Кентау,,0.008
