Year,Units,Өңірлер,GeoCode,Value
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,4.07
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,3.96
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,4.14
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,4.15
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Маңғыстау,KZ09,4.61
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.12
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.11
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.47
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.49
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.71
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.7
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Оңтүстік Қазақстан,KZ10,0.68
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,7.39
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,6.58
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,6.49
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,5.94
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,6.22
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,6.31
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Павлодар,KZ11,6.1
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.28
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.37
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.54
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.5
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.42
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.22
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Солтүстік Қазақстан,KZ16,0.3
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.96
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.88
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.82
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.68
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.8
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.84
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Шығыс Қазақстан,KZ15,0.83
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.06
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.04
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.2
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.19
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.1
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.09
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Нұр-Сұлтан қаласы,KZ05,0.1
2012,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.23
2013,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.14
2014,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.12
2015,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.13
2016,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.12
2017,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.11
2018,мбт 2010 жылғы мың АҚШ доллар бағасында,Алматы қаласы,KZ02,0.12
