Year,Units,Вид частиц РМ,Город,Value
2018,мг/метр куб,взвешенные частицы РМ-10,г_Аркалык,0.012
2018,мг/метр куб,взвешенные частицы РМ-10,г_Житикара,0.033
2018,мг/метр куб,взвешенные частицы РМ-10,г_Лисаковск,0.026000000000000002
2018,мг/метр куб,взвешенные частицы РМ-10,г_Кызылорда,0.0054
2018,мг/метр куб,взвешенные частицы РМ-10,п_Торетам,0.0
2018,мг/метр куб,взвешенные частицы РМ-10,г_Актау,0.032
2018,мг/метр куб,взвешенные частицы РМ-10,г_Жанаозен,0.0
2018,мг/метр куб,взвешенные частицы РМ-10,п_Бейнеу,0.011000000000000001
2018,мг/метр куб,взвешенные частицы РМ-10,г_Павлодар,0.0066
2018,мг/метр куб,взвешенные частицы РМ-10,г_Экибастуз,0.0057
2018,мг/метр куб,взвешенные частицы РМ-10,г_Петропавловск,0.01
2018,мг/метр куб,взвешенные частицы РМ-10,г_Шымкент,0.053
2018,мг/метр куб,взвешенные частицы РМ-10,г_Кентау,0.008
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,0.03
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кокшетау,0.02
2019,мг/метр куб,"взвешенные частицы РМ-2,5",СКФМ «Боровое»,0.04
2019,мг/метр куб,"взвешенные частицы РМ-2,5",ЩБКЗ,0.02
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актобе,0.0168
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,0.03
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Атырау,0.0129
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Семей,0.013999999999999999
2019,мг/метр куб,"взвешенные частицы РМ-2,5",п_Глубокое,0.001
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Зыряновск,2e-05
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Жанатас,0.01
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Каратау,0.03
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Чу,0.003
2019,мг/метр куб,"взвешенные частицы РМ-2,5",п_Кордай,0.02
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Уральск,0.01
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Караганда,0.055999999999999994
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Балхаш,0.048
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Жезказган,0.011000000000000001
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Сарань,0.013999999999999999
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Темиртау,0.044000000000000004
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Костанай,0.03
2019,мг/метр куб,"взвешенные частицы РМ-2,5",п_Карабалык,0.0019
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Кызылорда,0.005
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Актау,0.055
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Павлодар,0.0072
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Петропавловск,0.012
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Шымкент,0.02
2019,мг/метр куб,"взвешенные частицы РМ-2,5",г_Туркестан,0.05
2019,мг/метр куб,взвешенные частицы РМ-10,г_Нур-Султан,0.03
2019,мг/метр куб,взвешенные частицы РМ-10,г_Кокшетау,0.003
2019,мг/метр куб,взвешенные частицы РМ-10,СКФМ «Боровое»,0.04
2019,мг/метр куб,взвешенные частицы РМ-10,ЩБКЗ,0.02
2019,мг/метр куб,взвешенные частицы РМ-10,г_Актобе,0.039
2019,мг/метр куб,взвешенные частицы РМ-10,г_Алматы,0.05
2019,мг/метр куб,взвешенные частицы РМ-10,г_Талдыкорган,0.045
