Year,Units,Пол,Регионы,Местность,Value
2011,на 1000 родившихся,девочки,Павлодарская,город,6.372433325466131
2011,на 1000 родившихся,девочки,Северо-Казахстанская,город,4.972375690607734
2011,на 1000 родившихся,девочки,Восточно-Казахстанская,город,11.428571428571429
2011,на 1000 родившихся,девочки,г_Нур-Султан,город,6.541948812119821
2011,на 1000 родившихся,девочки,г_Алматы,город,12.701311638718247
2011,на 1000 родившихся,девочки,,село,7.14487167434427
2011,на 1000 родившихся,девочки,Акмолинская,село,8.059100067159166
2011,на 1000 родившихся,девочки,Актюбинская,село,5.294300840859545
2011,на 1000 родившихся,девочки,Алматинская,село,5.811884711184913
2011,на 1000 родившихся,девочки,Атырауская,село,11.541632316570487
2011,на 1000 родившихся,девочки,Западно-Казахстанская,село,8.261359369132558
2011,на 1000 родившихся,девочки,Жамбылская,село,7.482754589033087
2011,на 1000 родившихся,девочки,Карагандинская,село,6.279434850863423
2011,на 1000 родившихся,девочки,Костанайская,село,6.642311524410495
2011,на 1000 родившихся,девочки,Кызылординская,село,8.735282947208509
2011,на 1000 родившихся,девочки,Мангистауская,село,10.14832162373146
2011,на 1000 родившихся,девочки,Южно-Казахстанская,село,5.705040871934605
2011,на 1000 родившихся,девочки,Павлодарская,село,11.799410029498524
2011,на 1000 родившихся,девочки,Северо-Казахстанская,село,5.50148116800677
2011,на 1000 родившихся,девочки,Восточно-Казахстанская,село,10.567177054129827
2012,на 1000 родившихся,мальчики и девочки,,,9.025247079256886
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,,6.921187765126144
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,,8.72523733743072
2012,на 1000 родившихся,мальчики и девочки,Алматинская,,7.509333333333333
2012,на 1000 родившихся,мальчики и девочки,Атырауская,,11.548825869369947
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,,7.082494969818914
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,,8.721339147559432
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,,6.895707524073772
2012,на 1000 родившихся,мальчики и девочки,Костанайская,,9.688000610267755
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,,13.006923837784372
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,,9.080188679245282
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,,9.575650132960462
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,,6.527820951196768
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,,7.10927645912166
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,,12.65768655120804
2012,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,,6.987617530699276
2012,на 1000 родившихся,мальчики и девочки,г_Алматы,,9.76227736791117
2012,на 1000 родившихся,мальчики и девочки,,город,9.5173417414504
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,город,8.475793707800603
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,город,10.819560402112797
2012,на 1000 родившихся,мальчики и девочки,Алматинская,город,8.548469823901522
2012,на 1000 родившихся,мальчики и девочки,Атырауская,город,12.257026123560728
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,город,5.979291235234068
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,город,8.970156977747111
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,город,7.2783987522745
2012,на 1000 родившихся,мальчики и девочки,Костанайская,город,10.655964572377526
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,город,12.38919149845135
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,город,7.942417473318442
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,город,11.06305628682462
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,город,6.693896074427048
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,город,7.6608784473953015
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,город,13.537906137184116
2012,на 1000 родившихся,мальчики и девочки,г_Нур-Султан,город,6.987617530699276
2012,на 1000 родившихся,мальчики и девочки,г_Алматы,город,9.76227736791117
2012,на 1000 родившихся,мальчики и девочки,,село,8.44556950452278
2012,на 1000 родившихся,мальчики и девочки,Акмолинская,село,5.250154416306362
2012,на 1000 родившихся,мальчики и девочки,Актюбинская,село,4.934464148033924
2012,на 1000 родившихся,мальчики и девочки,Алматинская,село,7.163771782698922
2012,на 1000 родившихся,мальчики и девочки,Атырауская,село,10.787055533359968
2012,на 1000 родившихся,мальчики и девочки,Западно-Казахстанская,село,8.441091954022989
2012,на 1000 родившихся,мальчики и девочки,Жамбылская,село,8.550053437833986
2012,на 1000 родившихся,мальчики и девочки,Карагандинская,село,5.4997155319552435
2012,на 1000 родившихся,мальчики и девочки,Костанайская,село,8.499065102838687
2012,на 1000 родившихся,мальчики и девочки,Кызылординская,село,13.539651837524179
2012,на 1000 родившихся,мальчики и девочки,Мангистауская,село,10.11008762075938
2012,на 1000 родившихся,мальчики и девочки,Южно-Казахстанская,село,8.590815712477433
2012,на 1000 родившихся,мальчики и девочки,Павлодарская,село,6.166748889985199
2012,на 1000 родившихся,мальчики и девочки,Северо-Казахстанская,село,6.659729448491155
2012,на 1000 родившихся,мальчики и девочки,Восточно-Казахстанская,село,11.245963701146866
2012,на 1000 родившихся,мальчики,,,10.101061736094426
2012,на 1000 родившихся,мальчики,Акмолинская,,6.472491909385114
2012,на 1000 родившихся,мальчики,Актюбинская,,9.094754653130288
2012,на 1000 родившихся,мальчики,Алматинская,,9.143528227497692
2012,на 1000 родившихся,мальчики,Атырауская,,11.541839166980303
2012,на 1000 родившихся,мальчики,Западно-Казахстанская,,9.16860916860917
2012,на 1000 родившихся,мальчики,Жамбылская,,10.084265782566652
2012,на 1000 родившихся,мальчики,Карагандинская,,7.5307173999207295
2012,на 1000 родившихся,мальчики,Костанайская,,11.897590361445783
2012,на 1000 родившихся,мальчики,Кызылординская,,14.04041362299592
2012,на 1000 родившихся,мальчики,Мангистауская,,9.469915694652963
2012,на 1000 родившихся,мальчики,Южно-Казахстанская,,10.638812321678998
2012,на 1000 родившихся,мальчики,Павлодарская,,8.15833207433147
2012,на 1000 родившихся,мальчики,Северо-Казахстанская,,8.292245629762439
2012,на 1000 родившихся,мальчики,Восточно-Казахстанская,,13.94254997480262
2012,на 1000 родившихся,мальчики,г_Нур-Султан,,8.117045796171961
2012,на 1000 родившихся,мальчики,г_Алматы,,10.747259088286208
2012,на 1000 родившихся,мальчики,,город,10.562647754137116
2012,на 1000 родившихся,мальчики,Акмолинская,город,8.016032064128256
