Year,Units,Пол,Регионы,Value
2019,процент,мальчики,Костанайская,100.0
2019,процент,девочки,Костанайская,100.0
2019,процент,мальчики,Кызылординская,100.0
2019,процент,девочки,Кызылординская,100.0
2019,процент,мальчики,Мангистауская,100.0
2019,процент,девочки,Мангистауская,100.0
2019,процент,мальчики,Туркестанская,100.0
2019,процент,девочки,Туркестанская,100.0
2019,процент,мальчики,Павлодарская,100.0
2019,процент,девочки,Павлодарская,100.0
2019,процент,мальчики,Северо-Казахстанская,100.0
2019,процент,девочки,Северо-Казахстанская,100.0
2019,процент,мальчики,Восточно-Казахстанская,100.0
2019,процент,девочки,Восточно-Казахстанская,100.0
2019,процент,мальчики,г_Нур-Султан,97.3
2019,процент,девочки,г_Нур-Султан,98.5
2019,процент,мальчики,г_Алматы,79.4
2019,процент,девочки,г_Алматы,83.6
2019,процент,мальчики,г_Шымкент,100.0
2019,процент,девочки,г_Шымкент,100.0
