Year,Units,Местность,Регионы,Value
2011,кв.м.,,,18.7
2011,кв.м.,город,,20.6
2011,кв.м.,село,,16.6
2011,кв.м.,,Акмолинская,19.6
2011,кв.м.,,Актюбинская,18.2
2011,кв.м.,,Алматинская,15.9
2011,кв.м.,,Атырауская,16.2
2011,кв.м.,,Западно-Казахстанская,17.4
2011,кв.м.,,Жамбылская,16.0
2011,кв.м.,,Карагандинская,21.3
2011,кв.м.,,Костанайская,20.3
2011,кв.м.,,Кызылординская,17.9
2011,кв.м.,,Мангистауская,16.5
2011,кв.м.,,Южно-Казахстанская,17.6
2011,кв.м.,,Павлодарская,21.4
2011,кв.м.,,Северо-Казахстанская,19.9
2011,кв.м.,,Восточно-Казахстанская,19.0
2011,кв.м.,,г.Нур-Султан,24.4
2011,кв.м.,,г.Алматы,20.7
2011,кв.м.,город,Акмолинская,21.1
2011,кв.м.,город,Актюбинская,20.2
2011,кв.м.,город,Алматинская,18.5
2011,кв.м.,город,Атырауская,16.8
2011,кв.м.,город,Западно-Казахстанская,20.1
2011,кв.м.,город,Жамбылская,18.3
2011,кв.м.,город,Карагандинская,22.0
2011,кв.м.,город,Костанайская,21.1
2011,кв.м.,город,Кызылординская,19.3
2011,кв.м.,город,Мангистауская,17.2
2011,кв.м.,город,Южно-Казахстанская,19.7
2011,кв.м.,город,Павлодарская,22.4
2011,кв.м.,город,Северо-Казахстанская,21.2
2011,кв.м.,город,Восточно-Казахстанская,20.7
2011,кв.м.,город,г.Нур-Султан,24.4
2011,кв.м.,город,г.Алматы,20.7
2011,кв.м.,село,Акмолинская,18.5
2011,кв.м.,село,Актюбинская,15.3
2011,кв.м.,село,Алматинская,15.1
2011,кв.м.,село,Атырауская,15.5
2011,кв.м.,село,Западно-Казахстанская,15.0
2011,кв.м.,село,Жамбылская,14.3
2011,кв.м.,село,Карагандинская,19.2
2011,кв.м.,село,Костанайская,19.5
2011,кв.м.,село,Кызылординская,17.0
2011,кв.м.,село,Мангистауская,15.6
2011,кв.м.,село,Южно-Казахстанская,16.3
2011,кв.м.,село,Павлодарская,19.6
2011,кв.м.,село,Северо-Казахстанская,19.1
2011,кв.м.,село,Восточно-Казахстанская,16.7
2012,кв.м.,,,19.6
2012,кв.м.,город,,22.1
2012,кв.м.,село,,16.8
2012,кв.м.,,Акмолинская,20.2
2012,кв.м.,,Актюбинская,18.7
2012,кв.м.,,Алматинская,16.1
2012,кв.м.,,Атырауская,19.5
2012,кв.м.,,Западно-Казахстанская,18.4
2012,кв.м.,,Жамбылская,15.7
2012,кв.м.,,Карагандинская,21.9
2012,кв.м.,,Костанайская,20.9
2012,кв.м.,,Кызылординская,19.1
2012,кв.м.,,Мангистауская,17.5
2012,кв.м.,,Южно-Казахстанская,19.1
2012,кв.м.,,Павлодарская,21.6
2012,кв.м.,,Северо-Казахстанская,20.2
2012,кв.м.,,Восточно-Казахстанская,19.0
2012,кв.м.,,г.Нур-Султан,25.4
2012,кв.м.,,г.Алматы,24.4
2012,кв.м.,город,Акмолинская,22.0
2012,кв.м.,город,Актюбинская,21.2
2012,кв.м.,город,Алматинская,18.8
2012,кв.м.,город,Атырауская,22.1
2012,кв.м.,город,Западно-Казахстанская,21.9
2012,кв.м.,город,Жамбылская,18.0
2012,кв.м.,город,Карагандинская,22.6
2012,кв.м.,город,Костанайская,21.7
2012,кв.м.,город,Кызылординская,21.0
2012,кв.м.,город,Мангистауская,18.0
2012,кв.м.,город,Южно-Казахстанская,22.6
2012,кв.м.,город,Павлодарская,22.5
2012,кв.м.,город,Северо-Казахстанская,21.7
2012,кв.м.,город,Восточно-Казахстанская,20.9
2012,кв.м.,город,г.Нур-Султан,25.4
2012,кв.м.,город,г.Алматы,24.4
2012,кв.м.,село,Акмолинская,18.8
2012,кв.м.,село,Актюбинская,15.2
2012,кв.м.,село,Алматинская,15.3
2012,кв.м.,село,Атырауская,16.7
2012,кв.м.,село,Западно-Казахстанская,15.4
2012,кв.м.,село,Жамбылская,14.0
2012,кв.м.,село,Карагандинская,19.5
2012,кв.м.,село,Костанайская,20.1
2012,кв.м.,село,Кызылординская,18.0
2012,кв.м.,село,Мангистауская,16.9
2012,кв.м.,село,Южно-Казахстанская,16.7
2012,кв.м.,село,Павлодарская,19.7
2012,кв.м.,село,Северо-Казахстанская,19.1
2012,кв.м.,село,Восточно-Казахстанская,16.5
2013,кв.м.,,,20.9
2013,кв.м.,город,,23.7
2013,кв.м.,село,,17.4
2013,кв.м.,,Акмолинская,21.4
2013,кв.м.,,Актюбинская,20.1
2013,кв.м.,,Алматинская,17.1
2013,кв.м.,,Атырауская,19.9
2013,кв.м.,,Западно-Казахстанская,19.1
2013,кв.м.,,Жамбылская,15.6
2013,кв.м.,,Карагандинская,22.4
2013,кв.м.,,Костанайская,21.5
2013,кв.м.,,Кызылординская,19.5
2013,кв.м.,,Мангистауская,20.1
2013,кв.м.,,Южно-Казахстанская,20.7
2013,кв.м.,,Павлодарская,22.6
2013,кв.м.,,Северо-Казахстанская,20.7
2013,кв.м.,,Восточно-Казахстанская,19.4
2013,кв.м.,,г.Нур-Султан,27.7
2013,кв.м.,,г.Алматы,27.6
2013,кв.м.,город,Акмолинская,22.4
2013,кв.м.,город,Актюбинская,22.9
2013,кв.м.,город,Алматинская,19.8
2013,кв.м.,город,Атырауская,22.3
2013,кв.м.,город,Западно-Казахстанская,23.1
2013,кв.м.,город,Жамбылская,18.5
2013,кв.м.,город,Карагандинская,23.2
2013,кв.м.,город,Костанайская,22.3
2013,кв.м.,город,Кызылординская,21.7
2013,кв.м.,город,Мангистауская,19.9
2013,кв.м.,город,Южно-Казахстанская,25.1
2013,кв.м.,город,Павлодарская,23.5
2013,кв.м.,город,Северо-Казахстанская,22.3
2013,кв.м.,город,Восточно-Казахстанская,21.4
2013,кв.м.,город,г.Нур-Султан,27.7
2013,кв.м.,город,г.Алматы,27.6
2013,кв.м.,село,Акмолинская,20.6
2013,кв.м.,село,Актюбинская,16.2
2013,кв.м.,село,Алматинская,16.2
2013,кв.м.,село,Атырауская,17.3
2013,кв.м.,село,Западно-Казахстанская,15.5
2013,кв.м.,село,Жамбылская,13.6
2013,кв.м.,село,Карагандинская,19.7
2013,кв.м.,село,Костанайская,20.6
2013,кв.м.,село,Кызылординская,18.0
2013,кв.м.,село,Мангистауская,20.3
2013,кв.м.,село,Южно-Казахстанская,17.1
2013,кв.м.,село,Павлодарская,20.7
2013,кв.м.,село,Северо-Казахстанская,19.6
2013,кв.м.,село,Восточно-Казахстанская,16.9
2014,кв.м.,,,21.0
2014,кв.м.,город,,23.8
2014,кв.м.,село,,17.6
2014,кв.м.,,Акмолинская,21.6
2014,кв.м.,,Актюбинская,20.8
2014,кв.м.,,Алматинская,17.6
2014,кв.м.,,Атырауская,20.0
2014,кв.м.,,Западно-Казахстанская,19.5
2014,кв.м.,,Жамбылская,15.9
2014,кв.м.,,Карагандинская,22.6
2014,кв.м.,,Костанайская,21.9
2014,кв.м.,,Кызылординская,19.1
2014,кв.м.,,Мангистауская,20.9
2014,кв.м.,,Южно-Казахстанская,20.3
2014,кв.м.,,Павлодарская,22.8
2014,кв.м.,,Северо-Казахстанская,20.9
2014,кв.м.,,Восточно-Казахстанская,19.5
2014,кв.м.,,г.Нур-Султан,28.5
2014,кв.м.,,г.Алматы,26.7
2014,кв.м.,город,Акмолинская,22.7
2014,кв.м.,город,Актюбинская,23.7
2014,кв.м.,город,Алматинская,20.6
2014,кв.м.,город,Атырауская,22.4
2014,кв.м.,город,Западно-Казахстанская,23.6
2014,кв.м.,город,Жамбылская,18.6
2014,кв.м.,город,Карагандинская,23.4
2014,кв.м.,город,Костанайская,22.7
2014,кв.м.,город,Кызылординская,20.4
2014,кв.м.,город,Мангистауская,20.4
2014,кв.м.,город,Южно-Казахстанская,25.5
2014,кв.м.,город,Павлодарская,23.7
2014,кв.м.,город,Северо-Казахстанская,22.3
2014,кв.м.,город,Восточно-Казахстанская,21.5
2014,кв.м.,город,г.Нур-Султан,28.5
2014,кв.м.,город,г.Алматы,26.7
2014,кв.м.,село,Акмолинская,20.7
2014,кв.м.,село,Актюбинская,16.6
2014,кв.м.,село,Алматинская,16.7
2014,кв.м.,село,Атырауская,17.5
2014,кв.м.,село,Западно-Казахстанская,15.7
2014,кв.м.,село,Жамбылская,14.0
2014,кв.м.,село,Карагандинская,20.1
2014,кв.м.,село,Костанайская,21.0
2014,кв.м.,село,Кызылординская,18.0
2014,кв.м.,село,Мангистауская,21.3
2014,кв.м.,село,Южно-Казахстанская,16.9
2014,кв.м.,село,Павлодарская,20.9
2014,кв.м.,село,Северо-Казахстанская,19.9
2014,кв.м.,село,Восточно-Казахстанская,17.0
2015,кв.м.,,,21.0
2015,кв.м.,город,,23.5
2015,кв.м.,село,,17.8
2015,кв.м.,,Акмолинская,21.6
2015,кв.м.,,Актюбинская,21.3
2015,кв.м.,,Алматинская,18.1
2015,кв.м.,,Атырауская,20.1
2015,кв.м.,,Западно-Казахстанская,19.8
2015,кв.м.,,Жамбылская,16.1
2015,кв.м.,,Карагандинская,22.7
2015,кв.м.,,Костанайская,21.8
2015,кв.м.,,Кызылординская,19.3
2015,кв.м.,,Мангистауская,21.8
2015,кв.м.,,Южно-Казахстанская,18.9
2015,кв.м.,,Павлодарская,21.9
2015,кв.м.,,Северо-Казахстанская,20.8
2015,кв.м.,,Восточно-Казахстанская,19.7
2015,кв.м.,,г.Нур-Султан,29.0
2015,кв.м.,,г.Алматы,27.0
2015,кв.м.,город,Акмолинская,22.9
2015,кв.м.,город,Актюбинская,24.3
2015,кв.м.,город,Алматинская,21.1
2015,кв.м.,город,Атырауская,22.3
2015,кв.м.,город,Западно-Казахстанская,23.7
2015,кв.м.,город,Жамбылская,18.8
2015,кв.м.,город,Карагандинская,23.5
2015,кв.м.,город,Костанайская,22.4
2015,кв.м.,город,Кызылординская,20.8
2015,кв.м.,город,Мангистауская,21.4
2015,кв.м.,город,Южно-Казахстанская,21.7
2015,кв.м.,город,Павлодарская,22.6
2015,кв.м.,город,Северо-Казахстанская,21.9
2015,кв.м.,город,Восточно-Казахстанская,21.5
2015,кв.м.,город,г.Нур-Султан,29.0
2015,кв.м.,город,г.Алматы,27.0
2015,кв.м.,село,Акмолинская,20.5
2015,кв.м.,село,Актюбинская,17.1
2015,кв.м.,село,Алматинская,17.2
2015,кв.м.,село,Атырауская,17.8
2015,кв.м.,село,Западно-Казахстанская,16.1
2015,кв.м.,село,Жамбылская,14.3
2015,кв.м.,село,Карагандинская,20.0
2015,кв.м.,село,Костанайская,21.1
2015,кв.м.,село,Кызылординская,18.1
2015,кв.м.,село,Мангистауская,22.2
2015,кв.м.,село,Южно-Казахстанская,16.7
2015,кв.м.,село,Павлодарская,20.4
2015,кв.м.,село,Северо-Казахстанская,20.0
2015,кв.м.,село,Восточно-Казахстанская,17.0
2016,кв.м.,,,21.4
2016,кв.м.,город,,24.0
2016,кв.м.,село,,18.0
2016,кв.м.,,Акмолинская,21.8
2016,кв.м.,,Актюбинская,21.7
2016,кв.м.,,Алматинская,18.5
2016,кв.м.,,Атырауская,20.6
2016,кв.м.,,Западно-Казахстанская,20.2
2016,кв.м.,,Жамбылская,16.3
2016,кв.м.,,Карагандинская,22.9
2016,кв.м.,,Костанайская,21.8
2016,кв.м.,,Кызылординская,19.6
2016,кв.м.,,Мангистауская,22.4
2016,кв.м.,,Южно-Казахстанская,19.4
2016,кв.м.,,Павлодарская,21.9
2016,кв.м.,,Северо-Казахстанская,21.0
2016,кв.м.,,Восточно-Казахстанская,20.0
2016,кв.м.,,г.Нур-Султан,29.6
2016,кв.м.,,г.Алматы,27.6
2016,кв.м.,город,Акмолинская,23.5
2016,кв.м.,город,Актюбинская,24.6
2016,кв.м.,город,Алматинская,21.5
2016,кв.м.,город,Атырауская,23.2
2016,кв.м.,город,Западно-Казахстанская,24.2
2016,кв.м.,город,Жамбылская,19.0
2016,кв.м.,город,Карагандинская,23.6
2016,кв.м.,город,Костанайская,22.3
2016,кв.м.,город,Кызылординская,21.1
2016,кв.м.,город,Мангистауская,22.1
2016,кв.м.,город,Южно-Казахстанская,22.7
2016,кв.м.,город,Павлодарская,22.4
2016,кв.м.,город,Северо-Казахстанская,22.0
2016,кв.м.,город,Восточно-Казахстанская,22.0
2016,кв.м.,город,г.Нур-Султан,29.6
2016,кв.м.,город,г.Алматы,27.6
2016,кв.м.,село,Акмолинская,20.5
2016,кв.м.,село,Актюбинская,17.5
2016,кв.м.,село,Алматинская,17.6
2016,кв.м.,село,Атырауская,18.0
2016,кв.м.,село,Западно-Казахстанская,16.4
2016,кв.м.,село,Жамбылская,14.5
2016,кв.м.,село,Карагандинская,20.2
2016,кв.м.,село,Костанайская,21.2
2016,кв.м.,село,Кызылординская,18.4
2016,кв.м.,село,Мангистауская,22.7
2016,кв.м.,село,Южно-Казахстанская,16.7
2016,кв.м.,село,Павлодарская,20.7
2016,кв.м.,село,Северо-Казахстанская,20.2
2016,кв.м.,село,Восточно-Казахстанская,17.1
2017,кв.м.,,,21.6
2017,кв.м.,город,,24.1
2017,кв.м.,село,,18.2
2017,кв.м.,,Акмолинская,22.0
2017,кв.м.,,Актюбинская,22.0
2017,кв.м.,,Алматинская,18.9
2017,кв.м.,,Атырауская,21.4
2017,кв.м.,,Западно-Казахстанская,20.6
2017,кв.м.,,Жамбылская,16.6
2017,кв.м.,,Карагандинская,23.0
2017,кв.м.,,Костанайская,21.7
2017,кв.м.,,Кызылординская,19.9
2017,кв.м.,,Мангистауская,23.3
2017,кв.м.,,Южно-Казахстанская,19.7
2017,кв.м.,,Павлодарская,22.0
2017,кв.м.,,Северо-Казахстанская,21.0
2017,кв.м.,,Восточно-Казахстанская,20.2
2017,кв.м.,,г.Нур-Султан,29.8
2017,кв.м.,,г.Алматы,27.1
2017,кв.м.,город,Акмолинская,23.8
2017,кв.м.,город,Актюбинская,24.6
2017,кв.м.,город,Алматинская,21.8
2017,кв.м.,город,Атырауская,23.7
2017,кв.м.,город,Западно-Казахстанская,24.8
2017,кв.м.,город,Жамбылская,19.4
2017,кв.м.,город,Карагандинская,23.8
2017,кв.м.,город,Костанайская,22.3
2017,кв.м.,город,Кызылординская,21.7
2017,кв.м.,город,Мангистауская,23.2
2017,кв.м.,город,Южно-Казахстанская,23.2
2017,кв.м.,город,Павлодарская,22.4
2017,кв.м.,город,Северо-Казахстанская,21.7
2017,кв.м.,город,Восточно-Казахстанская,22.2
2017,кв.м.,город,г.Нур-Султан,29.8
2017,кв.м.,город,г.Алматы,27.1
2017,кв.м.,село,Акмолинская,20.6
2017,кв.м.,село,Актюбинская,16.5
2017,кв.м.,село,Алматинская,18.0
2017,кв.м.,село,Атырауская,19.0
2017,кв.м.,село,Западно-Казахстанская,16.6
2017,кв.м.,село,Жамбылская,14.7
2017,кв.м.,село,Карагандинская,20.4
2017,кв.м.,село,Костанайская,20.9
2017,кв.м.,село,Кызылординская,18.4
2017,кв.м.,село,Мангистауская,23.3
2017,кв.м.,село,Южно-Казахстанская,17.0
2017,кв.м.,село,Павлодарская,20.9
2017,кв.м.,село,Северо-Казахстанская,20.5
2017,кв.м.,село,Восточно-Казахстанская,17.3
2018,кв.м.,,,21.9
2018,кв.м.,город,,24.2
2018,кв.м.,село,,18.6
2018,кв.м.,,Акмолинская,22.4
2018,кв.м.,,Актюбинская,21.6
2018,кв.м.,,Алматинская,19.1
2018,кв.м.,,Атырауская,22.2
2018,кв.м.,,Западно-Казахстанская,21.0
2018,кв.м.,,Жамбылская,16.9
2018,кв.м.,,Карагандинская,23.2
2018,кв.м.,,Костанайская,21.8
2018,кв.м.,,Кызылординская,20.0
2018,кв.м.,,Мангистауская,24.4
2018,кв.м.,,Павлодарская,22.1
2018,кв.м.,,Северо-Казахстанская,21.4
2018,кв.м.,,Туркестанская,18.2
2018,кв.м.,,Восточно-Казахстанская,20.5
2018,кв.м.,,г.Нур-Султан,30.0
2018,кв.м.,,г.Алматы,27.5
2018,кв.м.,,г.Шымкент,23.5
2018,кв.м.,город,Акмолинская,24.1
2018,кв.м.,город,Актюбинская,23.3
2018,кв.м.,город,Алматинская,21.6
2018,кв.м.,город,Атырауская,24.4
2018,кв.м.,город,Западно-Казахстанская,25.3
2018,кв.м.,город,Жамбылская,19.8
2018,кв.м.,город,Карагандинская,23.9
2018,кв.м.,город,Костанайская,22.5
2018,кв.м.,город,Кызылординская,21.8
2018,кв.м.,город,Мангистауская,24.5
2018,кв.м.,город,Павлодарская,22.5
2018,кв.м.,город,Северо-Казахстанская,21.8
2018,кв.м.,город,Туркестанская,21.5
2018,кв.м.,город,Восточно-Казахстанская,22.5
2018,кв.м.,город,г.Нур-Султан,30.0
2018,кв.м.,город,г.Алматы,27.5
2018,кв.м.,город,г.Шымкент,23.5
2018,кв.м.,село,Акмолинская,21.0
2018,кв.м.,село,Актюбинская,17.4
2018,кв.м.,село,Алматинская,18.3
2018,кв.м.,село,Атырауская,19.6
2018,кв.м.,село,Западно-Казахстанская,17.0
2018,кв.м.,село,Жамбылская,15.0
2018,кв.м.,село,Карагандинская,20.5
2018,кв.м.,село,Костанайская,21.0
2018,кв.м.,село,Кызылординская,18.5
2018,кв.м.,село,Мангистауская,24.3
2018,кв.м.,село,Павлодарская,21.2
2018,кв.м.,село,Северо-Казахстанская,21.0
2018,кв.м.,село,Туркестанская,17.3
2018,кв.м.,село,Восточно-Казахстанская,17.6
2019,кв.м.,,,22.2
2019,кв.м.,город,,24.7
2019,кв.м.,село,,18.9
2019,кв.м.,,Акмолинская,22.7
2019,кв.м.,,Актюбинская,21.9
2019,кв.м.,,Алматинская,19.6
2019,кв.м.,,Атырауская,22.7
2019,кв.м.,,Западно-Казахстанская,21.4
2019,кв.м.,,Жамбылская,17.2
2019,кв.м.,,Карагандинская,23.3
2019,кв.м.,,Костанайская,22.0
2019,кв.м.,,Кызылординская,20.5
2019,кв.м.,,Мангистауская,25.5
2019,кв.м.,,Павлодарская,22.3
2019,кв.м.,,Северо-Казахстанская,21.7
2019,кв.м.,,Туркестанская,18.4
2019,кв.м.,,Восточно-Казахстанская,20.7
2019,кв.м.,,г.Нур-Султан,30.5
2019,кв.м.,,г.Алматы,28.0
2019,кв.м.,,г.Шымкент,24.1
2019,кв.м.,город,Акмолинская,24.3
2019,кв.м.,город,Актюбинская,23.7
2019,кв.м.,город,Алматинская,22.1
2019,кв.м.,город,Атырауская,24.8
2019,кв.м.,город,Западно-Казахстанская,25.8
2019,кв.м.,город,Жамбылская,20.2
2019,кв.м.,город,Карагандинская,24.0
2019,кв.м.,город,Костанайская,22.7
2019,кв.м.,город,Кызылординская,22.5
2019,кв.м.,город,Мангистауская,25.3
2019,кв.м.,город,Павлодарская,22.6
2019,кв.м.,город,Северо-Казахстанская,22.1
2019,кв.м.,город,Туркестанская,21.7
2019,кв.м.,город,Восточно-Казахстанская,22.7
2019,кв.м.,город,г.Нур-Султан,30.5
2019,кв.м.,город,г.Алматы,28.0
2019,кв.м.,город,г.Шымкент,24.1
2019,кв.м.,село,Акмолинская,21.4
2019,кв.м.,село,Актюбинская,17.6
2019,кв.м.,село,Алматинская,18.8
2019,кв.м.,село,Атырауская,20.1
2019,кв.м.,село,Западно-Казахстанская,17.2
2019,кв.м.,село,Жамбылская,15.2
2019,кв.м.,село,Карагандинская,20.6
2019,кв.м.,село,Костанайская,21.1
2019,кв.м.,село,Кызылординская,18.8
2019,кв.м.,село,Мангистауская,25.6
2019,кв.м.,село,Павлодарская,21.3
2019,кв.м.,село,Северо-Казахстанская,21.3
2019,кв.м.,село,Туркестанская,17.5
2019,кв.м.,село,Восточно-Казахстанская,17.8
