Year,Units,Регионы,Value
2014,на 100 000 родившихся живыми,Кызылординская,10.012014417300762
2014,на 100 000 родившихся живыми,Мангистауская,26.55478251633119
2014,на 100 000 родившихся живыми,Южно-Казахстанская,15.487068297971193
2014,на 100 000 родившихся живыми,Павлодарская,0.0
2014,на 100 000 родившихся живыми,Северо-Казахстанская,17.691734169057156
2014,на 100 000 родившихся живыми,Восточно-Казахстанская,25.83200585525466
2014,на 100 000 родившихся живыми,г.Нур-Султан,16.335198268468982
2014,на 100 000 родившихся живыми,г.Алматы,4.8050356773899034
2015,на 100 000 родившихся живыми,,16.549690445562803
2015,на 100 000 родившихся живыми,Акмолинская,25.893319523562923
2015,на 100 000 родившихся живыми,Актюбинская,15.021781583295779
2015,на 100 000 родившихся живыми,Алматинская,17.17749257686928
2015,на 100 000 родившихся живыми,Атырауская,36.76245328104896
2015,на 100 000 родившихся живыми,Западно-Казахстанская,38.580246913580254
2015,на 100 000 родившихся живыми,Жамбылская,3.781147200060498
2015,на 100 000 родившихся живыми,Карагандинская,32.725190215168126
2015,на 100 000 родившихся живыми,Костанайская,0.0
2015,на 100 000 родившихся живыми,Кызылординская,48.761987321883296
2015,на 100 000 родившихся живыми,Мангистауская,5.236424569304079
2015,на 100 000 родившихся живыми,Южно-Казахстанская,15.648227838197323
2015,на 100 000 родившихся живыми,Павлодарская,13.059945148230376
2015,на 100 000 родившихся живыми,Северо-Казахстанская,15.165876777251187
2015,на 100 000 родившихся живыми,Восточно-Казахстанская,22.251891410769915
2015,на 100 000 родившихся живыми,г.Нур-Султан,7.659900421294522
2015,на 100 000 родившихся живыми,г.Алматы,2.3766517729822225
2016,на 100 000 родившихся живыми,,15.416634548678026
2016,на 100 000 родившихся живыми,Акмолинская,0.0
2016,на 100 000 родившихся живыми,Актюбинская,20.193861066235865
2016,на 100 000 родившихся живыми,Алматинская,14.472129091391494
2016,на 100 000 родившихся живыми,Атырауская,30.140454518054128
2016,на 100 000 родившихся живыми,Западно-Казахстанская,22.779043280182233
2016,на 100 000 родившихся живыми,Жамбылская,11.533138551437798
2016,на 100 000 родившихся живыми,Карагандинская,29.373505098401235
2016,на 100 000 родившихся живыми,Костанайская,32.725190215168126
2016,на 100 000 родившихся живыми,Кызылординская,5.335325188070213
2016,на 100 000 родившихся живыми,Мангистауская,5.052801778586227
2016,на 100 000 родившихся живыми,Южно-Казахстанская,15.989766549408376
2016,на 100 000 родившихся живыми,Павлодарская,0.0
2016,на 100 000 родившихся живыми,Северо-Казахстанская,18.940589683692156
2016,на 100 000 родившихся живыми,Восточно-Казахстанская,17.755681818181817
2016,на 100 000 родившихся живыми,г.Нур-Султан,11.020093303456639
2016,на 100 000 родившихся живыми,г.Алматы,7.939343416299473
2017,на 100 000 родившихся живыми,,14.812204234758115
2017,на 100 000 родившихся живыми,Акмолинская,17.809439002671414
2017,на 100 000 родившихся живыми,Актюбинская,5.2521008403361344
2017,на 100 000 родившихся живыми,Алматинская,25.085919273511774
